problem_id,oss_low_complexity_cq,oss_medium_complexity_cq,oss_high_complexity_cq
HumanEval/0,1,1,1
HumanEval/1,1,1,1
HumanEval/2,1,1,1
HumanEval/3,1,1,1
HumanEval/4,1,1,1
HumanEval/5,1,1,1
HumanEval/6,1,1,1
HumanEval/7,1,1,1
HumanEval/8,0,0,1
HumanEval/9,1,1,0
HumanEval/10,1,1,1
HumanEval/11,1,1,1
HumanEval/12,1,1,1
HumanEval/13,0,0,1
HumanEval/14,1,0,0
HumanEval/15,1,1,1
HumanEval/16,1,1,1
HumanEval/17,1,1,1
HumanEval/18,1,1,1
HumanEval/19,1,1,0
HumanEval/20,1,1,1
HumanEval/21,1,1,1
HumanEval/22,1,1,1
HumanEval/23,1,1,1
HumanEval/24,1,1,1
HumanEval/25,1,1,1
HumanEval/26,1,1,1
HumanEval/27,0,1,1
HumanEval/28,1,1,1
HumanEval/29,1,1,1
HumanEval/30,1,1,1
HumanEval/31,0,0,0
HumanEval/32,1,1,1
HumanEval/33,1,1,1
HumanEval/34,0,0,0
HumanEval/35,1,1,1
HumanEval/36,0,0,1
HumanEval/37,1,1,1
HumanEval/38,1,1,1
HumanEval/39,1,1,1
HumanEval/40,1,1,1
HumanEval/41,1,1,0
HumanEval/42,0,0,0
HumanEval/43,1,1,1
HumanEval/44,0,0,0
HumanEval/45,0,0,0
HumanEval/46,1,1,1
HumanEval/47,0,0,1
HumanEval/48,1,1,1
HumanEval/49,1,1,1
HumanEval/50,1,1,0
HumanEval/51,1,1,1
HumanEval/52,1,1,1
HumanEval/53,1,1,1
HumanEval/54,0,0,0
HumanEval/55,1,1,0
HumanEval/56,1,1,1
HumanEval/57,1,1,1
HumanEval/58,0,0,0
HumanEval/59,1,1,1
HumanEval/60,1,1,0
HumanEval/61,0,0,0
HumanEval/62,0,1,1
HumanEval/63,1,1,0
HumanEval/64,1,1,1
HumanEval/65,0,0,1
HumanEval/66,0,0,0
HumanEval/67,1,1,1
HumanEval/68,1,1,1
HumanEval/69,1,1,0
HumanEval/70,1,1,1
HumanEval/71,1,1,1
HumanEval/72,1,1,1
HumanEval/73,1,1,1
HumanEval/74,1,1,0
HumanEval/75,1,1,1
HumanEval/76,0,0,0
HumanEval/77,1,1,1
HumanEval/78,1,1,1
HumanEval/79,0,0,0
HumanEval/80,1,1,1
HumanEval/81,1,1,0
HumanEval/82,1,1,0
HumanEval/83,0,0,1
HumanEval/84,1,1,1
HumanEval/85,1,1,1
HumanEval/86,0,0,0
HumanEval/87,0,1,1
HumanEval/88,1,1,0
HumanEval/89,0,1,1
HumanEval/90,1,1,1
HumanEval/91,0,0,0
HumanEval/92,1,1,1
HumanEval/93,0,0,1
HumanEval/94,1,1,1
HumanEval/95,1,1,1
HumanEval/96,0,0,0
HumanEval/97,1,1,1
HumanEval/98,0,0,0
HumanEval/99,0,0,1
HumanEval/100,0,1,1
HumanEval/101,0,0,0
HumanEval/102,1,1,1
HumanEval/103,0,0,0
HumanEval/104,0,1,1
HumanEval/105,1,1,1
HumanEval/106,1,1,0
HumanEval/107,0,0,0
HumanEval/108,0,0,1
HumanEval/109,1,1,0
HumanEval/110,1,0,0
HumanEval/111,0,0,0
HumanEval/112,0,1,1
HumanEval/113,1,1,1
HumanEval/114,0,0,0
HumanEval/115,1,1,0
HumanEval/116,0,1,1
HumanEval/117,1,1,1
HumanEval/118,0,0,0
HumanEval/119,1,1,1
HumanEval/120,0,0,0
HumanEval/121,0,1,1
HumanEval/122,1,1,1
HumanEval/123,0,0,0
HumanEval/124,0,0,1
HumanEval/125,1,1,1
HumanEval/126,1,1,1
HumanEval/127,0,0,1
HumanEval/128,1,1,0
HumanEval/129,0,1,1
HumanEval/130,1,1,1
HumanEval/131,1,1,1
HumanEval/132,0,1,1
HumanEval/133,1,1,1
HumanEval/134,0,0,0
HumanEval/135,0,0,0
HumanEval/136,0,0,0
HumanEval/137,0,0,0
HumanEval/138,1,1,1
HumanEval/139,0,0,0
HumanEval/140,0,0,0
HumanEval/141,0,0,0
HumanEval/142,0,0,0
HumanEval/143,0,0,0
HumanEval/144,0,0,0
HumanEval/145,0,0,0
HumanEval/146,0,0,0
HumanEval/147,0,0,0
HumanEval/148,0,0,0
HumanEval/149,0,0,0
HumanEval/150,0,0,0
HumanEval/151,0,0,0
HumanEval/152,0,0,0
HumanEval/153,0,0,0
HumanEval/154,0,0,0
HumanEval/155,1,0,0
HumanEval/156,1,0,0
HumanEval/157,0,0,0
HumanEval/158,0,0,0
HumanEval/159,0,1,1
HumanEval/160,0,0,0
HumanEval/161,0,0,0
HumanEval/162,0,0,0
HumanEval/163,0,1,1
