problem_id,evol_low_complexity_cq,evol_medium_complexity_cq,evol_high_complexity_cq
1873_A,1,1,1
1873_B,0,1,1
1873_D,1,1,1
1899_A,0,0,0
2727,0,0,0
2756,1,1,1
2777,1,1,0
2785,1,1,1
2791,0,0,0
2800,1,1,1
2812,1,1,0
2816,0,0,0
2819,0,0,0
2824,0,1,1
2825,0,0,1
2831,1,0,0
2844,0,0,0
2847,0,0,0
2857,0,0,0
2866,0,0,0
2870,0,1,1
2876,1,1,1
2881,1,1,1
2886,1,1,1
2892,0,0,0
2902,0,0,0
2917,0,0,0
2955,0,0,0
2977,1,1,1
2998,0,0,0
2999,1,1,1
3019,0,0,0
3034,1,0,0
3044,0,0,1
3045,0,0,0
3055,1,1,1
3093,1,1,1
3154,1,1,1
3163,0,0,0
3164,1,1,1
3172,1,1,1
3176,1,0,0
3183,0,0,0
3188,0,0,0
3193,0,0,0
3194,1,1,1
3199,1,1,1
3206,1,1,1
3207,1,1,1
3220,0,0,0
3221,1,1,0
3226,0,0,1
3227,0,1,1
3236,1,1,1
3242,0,1,1
3246,0,0,0
3251,1,1,1
3252,0,0,0
3263,0,0,0
3309,0,0,0
3311,0,0,0
3312,0,0,0
3320,0,0,0
3324,0,0,0
3331,0,0,0
3347,0,0,0
abc301_a,1,0,0
abc301_b,0,0,0
abc302_a,0,0,0
abc303_a,0,1,1
abc303_b,1,1,1
abc304_a,1,1,1
abc304_b,0,0,0
abc305_a,0,0,0
abc305_b,0,0,0
abc306_a,1,0,0
abc306_b,0,0,0
abc307_a,0,0,0
abc307_b,1,1,1
abc308_a,1,1,0
abc308_b,0,0,0
abc309_a,0,0,0
abc309_b,1,0,0
abc310_a,1,1,1
abc310_b,0,0,0
abc311_a,1,1,1
abc311_b,1,1,1
abc312_a,0,0,0
abc312_b,0,0,0
abc313_a,1,1,1
abc314_a,1,1,1
abc314_b,0,1,1
abc315_a,0,0,0
abc315_b,1,1,1
abc318_a,1,1,1
abc318_b,0,0,0
abc319_b,1,1,0
abc320_a,1,1,1
abc320_b,0,0,0
abc321_a,0,0,0
abc321_b,0,0,0
abc322_a,1,1,1
abc322_b,0,0,0
abc323_a,0,1,1
abc323_b,0,0,1
abc324_a,0,1,1
abc324_b,0,1,1
abc325_a,0,1,1
abc326_a,0,0,0
abc326_b,0,0,0
abc327_a,1,1,1
abc327_b,0,0,0
abc328_a,0,0,0
abc328_b,0,0,0
abc329_a,0,0,0
abc329_b,1,1,0
abc330_a,0,0,0
abc330_b,1,0,0
abc331_a,1,1,1
abc331_b,1,0,0
abc332_a,0,0,0
abc332_b,0,1,1
abc333_a,1,1,1
abc333_b,0,0,0
abc334_a,0,1,1
abc335_a,1,0,0
abc335_b,0,0,0
abc336_a,1,1,1
abc336_b,0,0,0
abc337_a,0,0,0
abc337_b,0,0,0
abc338_a,0,0,0
abc338_b,1,1,1
abc339_a,0,1,1
abc340_a,1,1,0
abc340_b,0,0,0
abc341_a,1,0,0
abc341_b,0,0,0
abc342_a,0,0,0
abc342_b,1,1,1
abc343_a,0,0,0
abc343_b,1,1,0
abc344_a,0,0,0
abc344_b,0,0,0
abc345_b,0,0,0
abc346_b,0,0,0
abc346_a,0,1,1
abc347_a,0,0,0
abc347_b,0,0,0
abc348_b,0,0,0
abc348_a,1,1,1
abc349_a,0,1,1
abc349_b,0,0,0
abc350_a,1,1,1
abc350_b,1,1,1
abc351_a,0,0,0
abc351_b,1,1,1
abc352_a,0,0,0
abc352_b,0,1,1
abc353_b,0,1,1
abc353_a,0,0,0
abc354_b,0,0,0
abc354_a,1,1,1
abc355_b,0,0,0
abc355_a,0,0,0
3334,0,0,0
3353,0,0,0
3349,1,1,1
3371,0,0,0
3372,1,1,1
3361,1,1,1
3367,1,1,0
3381,0,0,0
3379,0,0,0
3408,0,0,0
3397,1,1,1
3396,0,0,0
3398,0,0,0
3412,1,1,1
3429,0,1,1
3446,0,0,0
3428,0,0,0
abc356_a,0,1,1
abc356_b,1,1,1
abc357_a,1,1,1
abc357_b,1,1,1
abc358_b,1,1,1
abc358_a,0,0,0
abc359_b,0,0,0
abc359_a,0,0,0
abc360_b,1,1,1
abc360_a,0,0,0
abc361_a,1,0,0
abc362_a,0,0,0
abc362_b,0,0,0
abc363_a,1,1,1
abc363_b,0,0,0
abc364_b,0,1,1
abc364_a,0,1,1
abc365_b,1,1,1
abc365_a,0,0,0
3426,1,1,1
3450,1,0,0
3421,0,0,0
3471,0,1,1
3469,1,0,0
3468,0,0,0
3484,1,1,1
3508,1,1,1
3515,0,1,1
3533,0,0,0
3447,1,1,1
3476,1,0,0
3463,0,0,0
3511,0,1,1
3519,0,0,0
abc366_b,0,0,0
abc366_a,0,0,0
abc367_a,1,1,1
abc367_b,0,0,0
abc368_a,1,0,0
abc368_b,1,1,1
abc369_a,0,0,0
abc369_b,1,0,0
abc370_a,0,0,0
abc370_b,0,1,1
abc371_b,0,0,0
abc371_a,1,1,1
abc372_a,0,0,0
abc373_a,0,0,0
abc373_b,0,0,0
3543,0,1,1
3555,0,0,0
3553,0,0,0
3567,0,0,0
3568,1,1,1
3600,0,0,0
3606,0,0,0
abc374_b,1,1,1
abc374_a,0,1,1
abc375_b,0,0,0
abc375_a,0,0,0
abc376_a,0,1,1
abc377_b,0,0,0
abc377_a,1,1,0
abc378_b,0,1,1
abc378_a,0,0,0
abc379_b,0,0,0
abc379_a,1,1,1
abc380_a,1,0,0
abc380_b,1,1,1
abc381_a,0,0,0
abc381_b,0,0,0
abc382_a,0,0,0
abc382_b,0,0,0
abc383_a,0,0,0
abc384_b,0,0,0
abc384_a,0,0,0
abc385_a,0,0,0
abc385_b,1,1,0
abc386_a,0,1,1
abc386_b,0,0,0
3610,1,0,0
3636,0,0,0
3612,1,1,1
3616,1,1,0
3644,1,1,1
3605,0,1,1
3617,0,1,1
3626,0,0,0
3625,1,1,1
3676,1,1,0
3651,1,1,1
3621,1,1,1
3632,1,1,1
3656,1,1,1
3685,1,1,1
3702,0,0,0
3684,1,1,1
