problem_id,evol_low_complexity_dsc,evol_medium_complexity_dsc,evol_high_complexity_dsc
1873_A,0,0,0
1873_B,0,0,0
1873_D,0,1,1
1899_A,0,0,0
2727,0,0,0
2756,0,0,0
2777,0,1,1
2785,0,1,1
2791,0,0,0
2800,0,1,1
2812,0,0,0
2816,1,1,1
2819,0,0,0
2824,0,0,0
2825,0,0,0
2831,0,1,1
2844,0,0,0
2847,0,0,0
2857,0,0,0
2866,0,0,0
2870,1,0,0
2876,1,0,0
2881,0,0,0
2886,0,0,0
2892,0,0,0
2902,0,0,0
2917,1,1,1
2955,0,0,0
2977,0,0,0
2998,1,1,1
2999,1,1,1
3019,0,0,0
3034,0,0,0
3044,0,0,0
3045,1,1,1
3055,1,1,1
3093,0,0,0
3154,0,0,0
3163,1,1,1
3164,0,0,0
3172,0,0,0
3176,0,0,0
3183,0,1,1
3188,0,1,1
3193,0,0,0
3194,1,1,1
3199,0,0,0
3206,1,1,1
3207,0,0,0
3220,0,0,0
3221,1,1,1
3226,0,0,0
3227,1,1,1
3236,0,0,0
3242,0,0,0
3246,0,0,0
3251,0,0,0
3252,0,0,0
3263,1,1,1
3309,0,0,0
3311,0,0,0
3312,0,0,0
3320,0,0,0
3324,0,0,0
3331,0,0,0
3347,0,0,0
abc301_a,1,1,1
abc301_b,1,0,0
abc302_a,0,0,0
abc303_a,1,1,1
abc303_b,0,0,0
abc304_a,0,0,0
abc304_b,0,0,0
abc305_a,0,0,0
abc305_b,1,1,1
abc306_a,0,1,1
abc306_b,0,0,0
abc307_a,1,1,0
abc307_b,0,0,0
abc308_a,1,1,1
abc308_b,0,0,0
abc309_a,0,0,0
abc309_b,1,1,1
abc310_a,0,1,1
abc310_b,0,0,0
abc311_a,1,1,1
abc311_b,1,1,1
abc312_a,0,0,0
abc312_b,0,0,0
abc313_a,0,0,0
abc314_a,1,1,1
abc314_b,0,0,0
abc315_a,0,0,0
abc315_b,0,0,0
abc318_a,1,1,1
abc318_b,0,0,0
abc319_b,0,0,0
abc320_a,1,0,0
abc320_b,0,0,0
abc321_a,0,0,0
abc321_b,1,0,0
abc322_a,0,0,0
abc322_b,1,1,1
abc323_a,1,1,1
abc323_b,1,0,0
abc324_a,0,0,0
abc324_b,0,0,0
abc325_a,0,1,1
abc326_a,1,1,1
abc326_b,0,0,0
abc327_a,0,0,0
abc327_b,1,0,0
abc328_a,0,0,0
abc328_b,0,0,0
abc329_a,0,0,0
abc329_b,0,0,0
abc330_a,0,0,0
abc330_b,1,1,1
abc331_a,0,0,0
abc331_b,0,0,0
abc332_a,1,1,1
abc332_b,1,0,0
abc333_a,0,1,1
abc333_b,0,0,0
abc334_a,1,1,1
abc335_a,0,0,0
abc335_b,0,0,0
abc336_a,0,0,0
abc336_b,1,1,1
abc337_a,0,0,0
abc337_b,1,1,0
abc338_a,0,0,0
abc338_b,1,1,1
abc339_a,0,0,0
abc340_a,0,0,0
abc340_b,0,0,0
abc341_a,0,1,1
abc341_b,0,0,0
abc342_a,1,1,1
abc342_b,0,0,0
abc343_a,0,1,1
abc343_b,1,1,0
abc344_a,0,0,0
abc344_b,0,0,0
abc345_b,1,1,1
abc346_b,1,1,1
abc346_a,0,0,0
abc347_a,1,1,1
abc347_b,0,0,0
abc348_b,0,0,0
abc348_a,0,0,0
abc349_a,0,0,0
abc349_b,0,0,0
abc350_a,0,1,1
abc350_b,1,1,1
abc351_a,0,0,0
abc351_b,1,1,0
abc352_a,0,0,0
abc352_b,0,0,0
abc353_b,1,1,1
abc353_a,0,0,1
abc354_b,0,0,0
abc354_a,0,0,0
abc355_b,1,1,1
abc355_a,1,1,1
3334,0,0,0
3353,0,1,1
3349,0,0,0
