problem_id,oss_low_complexity_cq,oss_medium_complexity_cq,oss_high_complexity_cq
1873_A,0,0,1
1873_B,1,0,0
1873_D,0,0,0
1899_A,0,0,0
2727,1,1,1
2756,0,1,1
2777,0,0,0
2785,0,0,0
2791,0,1,1
2800,0,0,0
2812,1,0,0
2816,0,0,0
2819,0,1,1
2824,1,0,0
2825,1,1,0
2831,0,0,0
2844,1,0,0
2847,0,0,0
2857,0,1,1
2866,0,1,1
2870,0,1,1
2876,0,0,0
2881,0,0,1
2886,0,0,0
2892,0,0,0
2902,1,1,0
2917,0,0,0
2955,0,0,0
2977,0,0,1
2998,1,0,0
2999,0,0,0
3019,0,0,0
3034,0,1,1
3044,0,0,0
3045,0,0,0
3055,0,0,0
3093,1,1,1
3154,1,1,1
3163,0,1,1
3164,0,1,1
3172,0,1,1
3176,0,0,0
3183,1,1,1
3188,0,0,0
3193,0,1,1
3194,1,1,0
3199,1,1,1
3206,0,0,0
3207,1,1,1
3220,0,1,1
3221,0,0,0
3226,0,0,0
3227,0,0,1
3236,1,1,1
3242,0,0,1
3246,0,0,0
3251,1,1,1
3252,0,0,0
3263,0,1,1
3309,0,0,0
3311,1,1,1
3312,1,1,0
3320,1,1,0
3324,0,0,1
3331,1,1,0
3347,1,0,0
abc301_a,0,0,0
abc301_b,0,1,1
abc302_a,0,0,0
abc303_a,1,1,1
abc303_b,1,1,0
abc304_a,1,1,0
abc304_b,0,0,0
abc305_a,0,0,0
abc305_b,0,0,0
abc306_a,0,0,0
abc306_b,0,0,0
abc307_a,0,0,0
abc307_b,0,0,0
abc308_a,0,1,1
abc308_b,1,1,0
abc309_a,0,0,0
abc309_b,0,0,0
abc310_a,0,1,1
abc310_b,0,0,0
abc311_a,0,1,1
abc311_b,0,1,1
abc312_a,0,0,0
abc312_b,0,1,1
abc313_a,0,0,0
abc314_a,1,1,1
abc314_b,0,0,0
abc315_a,0,0,0
abc315_b,1,1,1
abc318_a,0,0,0
abc318_b,0,1,1
abc319_b,1,0,0
abc320_a,1,1,1
abc320_b,1,0,0
abc321_a,0,0,0
abc321_b,0,1,1
abc322_a,0,0,0
abc322_b,0,0,0
abc323_a,0,0,0
abc323_b,0,0,0
abc324_a,0,0,0
abc324_b,1,1,0
abc325_a,1,0,0
abc326_a,0,0,0
abc326_b,0,0,0
abc327_a,0,0,0
abc327_b,1,1,1
abc328_a,0,0,0
abc328_b,0,0,0
abc329_a,0,0,0
abc329_b,1,1,1
abc330_a,1,1,1
abc330_b,0,0,0
abc331_a,0,1,1
abc331_b,1,1,1
abc332_a,0,0,0
abc332_b,1,1,0
abc333_a,1,1,1
abc333_b,0,0,0
abc334_a,1,1,1
abc335_a,0,1,1
abc335_b,0,0,0
abc336_a,1,0,0
abc336_b,0,0,0
abc337_a,0,1,1
abc337_b,0,0,0
abc338_a,0,1,1
abc338_b,0,1,1
abc339_a,1,0,0
abc340_a,0,0,0
abc340_b,0,1,1
abc341_a,1,1,1
abc341_b,1,1,0
abc342_a,0,0,0
abc342_b,0,0,0
abc343_a,1,1,1
abc343_b,0,0,0
abc344_a,0,1,1
abc344_b,0,0,0
abc345_b,0,0,0
abc346_b,0,0,0
abc346_a,1,0,0
abc347_a,0,0,0
abc347_b,1,1,1
abc348_b,0,0,1
abc348_a,0,0,0
abc349_a,0,0,0
abc349_b,0,1,1
abc350_a,1,1,1
abc350_b,0,0,1
abc351_a,0,1,1
abc351_b,1,1,0
abc352_a,0,0,0
abc352_b,1,1,1
abc353_b,0,0,0
abc353_a,0,0,0
abc354_b,1,0,0
abc354_a,0,1,1
abc355_b,0,1,1
abc355_a,1,1,1
3334,0,0,1
3353,0,0,0
3349,0,0,0
3371,1,1,1
3372,1,1,1
3361,1,1,1
3367,1,1,0
3381,0,0,0
3379,0,0,0
3408,0,0,0
3397,0,0,0
3396,1,1,1
3398,1,1,0
3412,1,0,0
3429,0,0,0
3446,1,1,1
3428,0,0,0
abc356_a,0,1,1
abc356_b,0,1,1
abc357_a,1,1,1
abc357_b,1,1,1
abc358_b,0,0,0
abc358_a,0,0,0
abc359_b,0,0,0
abc359_a,1,1,0
abc360_b,1,1,1
abc360_a,1,1,1
abc361_a,0,0,1
abc362_a,0,0,0
abc362_b,1,0,0
abc363_a,1,1,1
abc363_b,1,1,0
abc364_b,0,0,0
abc364_a,1,0,0
abc365_b,0,1,1
abc365_a,1,0,0
3426,0,0,0
3450,1,1,0
3421,1,0,0
3471,0,0,0
3469,0,0,0
3468,1,1,1
3484,1,1,0
3508,0,0,0
3515,0,1,1
3533,0,0,0
3447,1,1,1
3476,1,1,0
3463,0,0,0
3511,1,1,0
3519,1,1,1
abc366_b,0,0,0
abc366_a,1,0,0
abc367_a,0,1,1
abc367_b,1,0,0
abc368_a,0,0,0
abc368_b,0,0,0
abc369_a,0,0,0
abc369_b,1,1,1
abc370_a,1,1,0
abc370_b,0,0,0
abc371_b,0,0,0
abc371_a,1,1,1
abc372_a,0,0,1
abc373_a,0,0,0
abc373_b,1,0,0
3543,0,0,0
3555,0,0,1
3553,0,0,1
3567,1,1,1
3568,0,0,0
3600,1,1,1
3606,1,1,1
abc374_b,0,0,1
abc374_a,0,0,0
abc375_b,0,0,0
abc375_a,1,1,1
abc376_a,1,1,0
abc377_b,0,1,1
abc377_a,0,0,0
abc378_b,0,0,0
abc378_a,0,0,0
abc379_b,0,0,0
abc379_a,1,1,1
abc380_a,0,0,0
abc380_b,1,1,0
abc381_a,0,1,1
abc381_b,1,0,0
abc382_a,0,0,0
abc382_b,1,1,1
abc383_a,1,0,0
abc384_b,0,0,0
abc384_a,0,0,0
abc385_a,1,1,1
abc385_b,0,0,0
abc386_a,1,1,0
abc386_b,1,1,0
3610,0,0,0
3636,0,0,0
3612,1,1,1
3616,0,1,1
3644,0,1,1
3605,0,0,0
3617,0,0,0
3626,1,0,0
3625,0,0,0
3676,1,1,0
3651,0,0,0
3621,0,0,0
3632,1,1,0
3656,0,0,1
3685,0,0,0
3702,0,0,0
3684,1,1,0
