problem_id,evol_low_complexity_cq,evol_medium_complexity_cq,evol_high_complexity_cq
2,1,1,1
3,1,1,1
4,0,1,1
6,1,1,1
7,0,0,0
8,1,1,1
9,1,1,1
11,1,1,1
12,0,0,1
14,1,1,1
16,1,1,1
17,0,0,0
18,0,0,1
19,1,1,1
20,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,0
61,1,1,1
62,0,0,0
63,1,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,1
68,1,1,1
69,0,1,1
70,1,1,1
71,1,1,1
72,1,0,0
74,1,1,1
75,0,0,0
77,0,0,0
79,1,1,1
80,1,1,1
82,1,1,1
83,1,1,0
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,0,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,0,0,0
93,1,1,1
94,0,0,0
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,0,0,0
100,1,1,1
101,0,0,0
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,0,0,1
108,1,1,1
109,1,0,0
111,1,1,1
113,1,1,1
115,0,0,0
116,1,1,1
117,1,1,1
118,1,1,1
119,0,0,0
120,0,0,0
123,1,1,1
124,0,1,1
125,1,1,1
126,1,1,1
127,1,0,0
128,1,1,1
129,1,1,0
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
135,1,1,1
137,0,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,0
142,1,1,1
143,1,1,1
145,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,1,1,1
164,1,1,1
165,0,0,0
166,1,1,1
167,1,1,1
168,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
222,0,0,0
223,1,1,1
224,1,1,1
226,1,1,1
227,0,0,0
228,1,1,1
229,1,1,1
230,1,1,1
232,1,1,1
233,1,1,1
234,0,0,0
235,1,1,0
237,1,1,1
238,1,1,0
239,1,1,1
240,1,0,0
242,1,1,1
244,1,1,1
245,1,1,1
246,1,1,0
247,1,1,1
248,1,1,1
249,0,0,0
250,1,1,1
251,0,0,0
252,1,1,1
253,1,1,1
255,1,1,1
256,0,0,0
257,1,1,1
259,0,0,0
260,0,0,0
261,1,1,1
262,1,1,1
264,1,1,1
265,1,1,0
266,1,1,1
267,1,1,0
268,1,1,1
269,1,1,1
270,1,1,1
271,1,1,1
272,1,1,1
273,1,1,0
274,1,1,1
276,0,0,0
277,0,1,1
278,0,0,0
279,1,1,1
280,0,0,0
281,1,1,1
282,1,0,0
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
290,1,1,1
291,0,1,1
292,1,1,1
293,1,1,1
294,0,0,0
295,1,1,0
296,1,1,0
297,1,1,1
299,1,1,1
300,0,1,1
301,1,1,1
304,0,0,0
305,0,1,1
306,1,1,1
307,1,1,1
308,0,0,0
309,0,0,0
310,1,1,1
311,0,1,1
312,1,1,1
388,1,1,1
389,1,1,1
390,1,1,0
391,0,0,1
392,0,0,0
393,0,0,0
394,0,0,0
395,1,1,1
396,1,1,0
397,1,1,1
398,1,1,1
399,1,1,0
400,1,1,1
401,0,0,1
404,0,0,0
405,1,1,1
406,0,0,0
407,1,1,1
408,1,1,1
409,1,1,1
410,1,1,1
411,1,1,1
412,1,1,1
413,1,1,1
414,1,1,1
415,0,0,0
417,1,1,1
418,1,0,0
419,1,1,1
420,0,1,1
421,1,1,1
422,1,1,1
424,0,0,0
425,0,0,0
