problem_id,evol_low_complexity_dsc,evol_medium_complexity_dsc,evol_high_complexity_dsc
2,1,1,1
3,1,0,0
4,1,1,1
6,1,1,1
7,1,1,1
8,0,0,0
9,1,1,0
11,0,0,1
12,1,1,1
14,1,0,0
16,1,1,1
17,1,1,1
18,0,1,1
19,1,1,1
20,1,1,1
56,0,0,0
57,0,0,0
58,1,1,1
59,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,1,0,0
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,0
70,1,1,1
71,1,1,0
72,0,0,0
74,1,1,1
75,1,1,1
77,1,1,1
79,1,1,1
80,1,1,1
82,1,1,1
83,1,1,0
84,1,1,1
85,1,1,1
86,0,0,0
87,0,0,0
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,0,1,1
100,0,0,0
101,1,1,1
102,0,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
108,1,1,0
109,1,1,1
111,1,1,0
113,1,1,1
115,0,1,1
116,0,0,0
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,0
123,1,1,1
124,1,1,1
125,0,0,1
126,1,1,1
127,1,1,1
128,1,1,1
129,0,1,1
130,1,1,1
131,0,0,0
132,0,1,1
133,1,0,0
135,0,0,0
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,0,1,1
145,1,1,0
160,1,1,1
161,1,1,1
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,0,0,1
167,1,1,1
168,1,1,1
170,1,1,1
171,1,1,1
172,1,1,0
222,1,1,0
223,1,1,1
224,0,0,1
226,1,1,1
227,1,1,1
228,1,1,1
229,1,1,1
230,0,0,1
232,0,0,1
233,0,0,0
234,1,1,1
235,1,1,1
237,1,0,0
238,1,1,0
239,0,0,0
240,1,0,0
242,0,1,1
244,0,1,1
245,1,1,1
246,1,1,1
247,1,1,1
248,1,1,1
249,0,0,0
250,1,1,1
251,0,1,1
252,0,0,0
253,1,1,0
255,1,1,1
256,0,0,0
257,1,1,1
259,1,1,1
260,0,0,1
261,0,0,0
262,1,0,0
264,1,1,1
265,0,0,1
266,1,1,1
267,1,0,0
268,1,1,1
269,0,0,0
270,1,1,1
271,1,1,1
272,1,1,1
273,1,1,1
274,1,0,0
276,1,1,1
277,1,1,1
278,1,1,1
279,1,1,0
280,0,1,1
281,0,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
290,1,0,0
291,1,1,1
292,1,1,1
293,1,1,1
294,0,0,0
295,1,0,0
296,1,1,1
297,1,1,1
299,0,0,1
300,1,1,1
301,0,0,0
304,1,1,1
305,1,1,1
306,1,1,1
307,1,1,1
308,0,1,1
309,1,1,1
310,1,1,0
311,1,1,1
312,1,1,0
388,0,0,0
389,1,1,1
390,1,1,1
391,1,1,1
392,1,1,1
393,1,1,1
394,1,1,1
395,1,1,1
396,1,1,0
397,1,1,1
398,0,1,1
399,0,0,0
400,1,1,1
401,1,1,1
404,1,0,0
405,0,1,1
406,0,0,0
407,1,1,1
408,1,1,1
409,1,1,0
410,0,1,1
411,1,1,0
412,0,0,0
413,1,1,1
414,0,0,0
415,1,1,1
417,1,1,1
418,1,1,1
419,1,1,1
420,1,1,1
421,1,1,1
422,1,1,0
424,1,0,0
425,1,1,1
426,1,1,1
427,1,1,1
428,1,1,1
429,1,1,1
430,0,0,1
431,1,0,0
432,0,0,0
433,0,0,0
434,1,1,1
435,1,1,1
436,0,1,1
437,1,1,1
438,1,1,1
439,1,1,1
440,1,1,1
441,0,0,1
442,1,1,0
443,1,1,1
444,1,1,1
445,1,1,1
446,1,1,1
447,1,0,0
448,1,1,1
450,1,1,0
451,1,1,1
452,1,1,1
453,1,1,1
454,1,1,1
455,1,1,0
456,1,1,1
457,1,1,1
458,1,1,1
459,1,1,0
460,0,0,0
461,0,0,0
462,0,0,0
463,1,1,0
464,1,1,1
465,1,1,1
468,0,0,0
470,1,1,1
471,1,1,1
472,0,1,1
473,1,1,1
474,1,1,1
475,1,1,1
476,1,1,1
477,1,1,0
478,1,1,0
479,1,1,1
554,0,0,0
555,1,1,1
556,1,1,1
557,1,0,0
558,1,1,1
559,1,1,0
560,1,1,1
562,1,0,0
563,0,1,1
564,0,0,0
565,1,1,1
566,0,0,0
567,1,1,1
568,1,1,1
569,1,1,1
572,1,1,1
573,1,1,0
574,0,1,1
576,0,0,0
577,1,1,1
578,0,1,1
579,1,1,1
580,1,1,1
581,0,0,1
582,1,1,1
583,0,0,1
584,1,1,1
585,1,1,1
586,0,0,0
587,0,0,0
588,1,0,0
589,0,1,1
590,0,1,1
591,0,0,1
592,1,1,1
593,1,1,1
594,1,0,0
595,0,0,0
596,1,1,1
597,0,0,0
598,0,0,0
599,1,1,1
600,0,1,1
602,0,1,1
603,1,1,0
604,1,0,0
605,1,1,1
606,0,1,1
607,0,1,1
608,0,0,1
610,0,0,1
611,0,1,1
612,0,0,0
614,1,1,0
615,0,0,0
616,1,1,1
617,1,1,0
618,1,1,1
619,0,0,0
620,1,1,1
622,1,1,1
623,1,1,1
624,1,1,1
625,1,1,1
626,1,1,1
627,0,0,0
628,0,1,1
629,1,1,1
630,0,0,0
631,0,1,1
632,1,1,1
633,1,1,1
635,1,1,1
637,1,1,0
638,1,1,1
639,1,1,1
640,1,1,1
641,1,1,1
643,1,1,1
644,1,1,0
720,1,0,0
721,1,0,0
722,1,1,1
723,0,1,1
724,0,0,1
725,1,0,0
726,0,0,0
728,1,1,1
730,1,1,1
731,1,1,1
732,1,1,1
733,0,0,0
734,0,0,1
735,0,0,1
736,0,1,1
737,0,0,0
738,1,1,1
739,0,1,1
740,1,1,1
741,1,1,1
