problem_id,oss_low_complexity_cq,oss_medium_complexity_cq,oss_high_complexity_cq
2,1,1,1
3,0,0,0
4,1,1,1
6,0,0,0
7,1,1,1
8,1,1,1
9,1,0,0
11,1,1,1
12,1,1,1
14,0,0,0
16,0,0,0
17,1,1,1
18,0,0,0
19,1,1,1
20,0,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
61,0,0,0
62,1,1,1
63,1,1,1
64,1,1,1
65,0,1,1
66,1,1,0
67,1,1,0
68,1,1,0
69,1,1,1
70,0,0,0
71,1,1,1
72,0,0,0
74,1,1,1
75,1,1,1
77,1,1,1
79,1,1,1
80,1,1,1
82,0,0,1
83,1,1,1
84,0,0,0
85,1,1,1
86,1,1,1
87,0,0,0
88,1,1,1
89,0,0,0
90,1,1,1
91,1,1,1
92,1,1,1
93,0,0,0
94,1,1,1
95,1,1,1
96,0,0,1
97,1,1,1
98,0,0,0
99,1,1,1
100,1,0,0
101,1,0,0
102,1,1,1
103,1,0,0
104,1,1,1
105,1,1,1
106,1,1,1
108,1,1,0
109,1,1,1
111,1,1,1
113,0,0,0
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,0
120,1,1,1
123,0,0,0
124,1,1,0
125,1,1,1
126,0,0,0
127,1,1,1
128,1,1,1
129,1,1,1
130,0,0,0
131,0,0,1
132,0,0,0
133,1,1,1
135,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,0,0,0
141,0,0,0
142,0,0,1
143,0,1,1
145,1,1,1
160,0,0,0
161,1,1,1
162,1,1,1
163,1,1,1
164,0,0,1
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
170,1,1,1
171,0,1,1
172,1,1,1
222,1,1,1
223,1,1,1
224,1,1,1
226,1,1,1
227,1,1,1
228,1,1,1
229,1,1,1
230,1,1,1
232,1,1,1
233,1,1,1
234,0,0,0
235,1,1,0
237,1,1,1
238,1,1,1
239,1,1,1
240,0,0,0
242,1,1,1
244,1,1,1
