problem_id,oss_low_complexity_dsc,oss_medium_complexity_dsc,oss_high_complexity_dsc
2,1,1,1
3,1,1,0
4,1,1,1
6,1,1,1
7,1,1,1
8,0,0,1
9,1,1,1
11,1,0,0
12,1,1,1
14,1,1,1
16,1,1,1
17,1,1,1
18,1,1,0
19,1,1,1
20,0,1,1
56,1,1,1
57,0,1,1
58,1,1,1
59,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,0,0,1
66,1,0,0
67,1,1,1
68,0,0,0
69,1,1,1
70,1,1,1
71,1,1,1
72,0,1,1
74,1,1,1
75,0,0,0
77,1,1,1
79,1,1,1
80,0,0,0
82,1,1,1
83,1,1,1
84,0,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,0,1,1
89,0,1,1
90,1,1,1
91,1,1,1
92,0,1,1
93,1,1,1
94,1,1,1
95,0,0,1
96,1,1,1
97,0,0,0
98,0,1,1
99,1,1,1
100,1,1,1
101,0,0,0
102,1,1,0
103,0,1,1
104,1,1,1
105,1,1,0
106,1,1,1
108,0,0,0
109,1,0,0
111,0,1,1
113,1,1,1
115,1,0,0
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
123,0,0,0
124,0,0,0
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,0,1,1
131,1,1,1
132,1,1,1
133,1,1,1
135,1,1,1
137,1,0,0
138,0,0,0
139,1,0,0
140,1,1,1
141,1,1,0
142,1,1,1
143,0,0,0
145,1,0,0
160,1,1,1
161,1,1,1
162,0,0,0
163,1,1,1
164,0,0,0
165,1,1,1
166,1,1,0
167,1,0,0
168,1,1,1
170,0,1,1
171,1,1,1
172,1,1,1
222,1,1,1
223,1,1,1
224,0,0,0
226,1,1,1
227,1,1,1
228,1,1,0
229,0,0,0
230,1,0,0
232,0,0,0
233,0,0,0
234,1,1,1
235,1,1,0
237,0,0,0
238,1,1,1
239,1,1,0
240,1,1,1
242,1,1,1
244,0,1,1
245,0,1,1
246,1,1,1
247,1,1,1
248,1,1,1
249,1,1,1
250,1,0,0
251,1,1,1
252,1,0,0
253,1,1,1
255,1,1,1
256,1,1,1
257,1,1,1
259,0,1,1
260,1,1,1
261,0,1,1
262,1,1,1
264,1,1,1
265,1,1,0
266,1,1,1
267,1,1,0
268,0,0,0
269,1,1,1
270,0,1,1
271,1,1,1
272,1,1,1
273,0,1,1
274,0,0,0
276,1,1,1
277,0,1,1
278,0,0,1
279,0,0,0
280,0,1,1
281,0,1,1
282,1,0,0
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
290,1,1,1
291,0,1,1
292,0,1,1
293,1,1,0
294,1,1,0
295,0,1,1
296,0,0,1
297,1,1,1
299,1,1,1
300,1,1,1
301,0,1,1
304,1,1,1
305,0,1,1
306,1,1,0
307,1,1,1
308,0,0,1
309,1,1,1
310,1,1,1
311,0,0,0
312,1,1,0
388,0,1,1
389,0,0,0
390,0,1,1
391,1,1,1
392,0,0,0
393,0,1,1
394,0,0,0
395,1,1,0
396,1,1,1
397,1,1,1
398,1,1,1
399,1,1,1
400,0,0,1
401,0,0,0
404,1,1,1
405,0,0,0
406,0,1,1
407,1,1,1
408,1,1,1
409,0,1,1
410,1,1,1
411,1,1,1
412,0,0,1
413,1,1,1
414,0,0,0
415,1,1,1
417,0,1,1
418,1,1,1
419,1,0,0
420,0,1,1
421,1,1,1
422,0,0,1
424,1,1,1
425,1,1,1
426,0,1,1
427,1,0,0
428,1,1,1
429,1,1,1
430,1,1,1
431,1,0,0
432,1,1,1
433,1,1,1
434,1,0,0
435,1,1,1
436,1,1,1
437,0,0,1
438,1,0,0
439,1,1,1
440,1,1,1
441,1,0,0
442,0,1,1
443,1,1,1
444,0,0,1
445,0,1,1
446,1,1,1
447,1,1,1
448,1,1,0
450,0,1,1
451,0,1,1
452,1,1,1
453,1,0,0
454,1,1,1
455,1,1,1
456,0,0,0
457,1,1,1
458,0,0,0
459,0,1,1
460,1,1,1
461,1,1,1
462,1,1,1
463,0,1,1
464,1,1,0
465,1,1,1
468,1,0,0
470,1,1,1
471,1,1,0
472,1,1,1
473,1,1,1
474,0,1,1
475,1,1,1
476,1,0,0
477,1,1,1
478,1,1,1
479,1,1,1
554,0,0,1
555,1,1,1
556,1,1,1
557,1,0,0
558,1,1,1
559,1,1,1
560,1,1,1
562,1,0,0
563,0,1,1
564,1,1,1
565,0,0,1
566,1,0,0
567,0,1,1
568,1,1,1
569,0,1,1
572,1,1,1
573,0,0,0
574,1,1,1
576,0,0,0
577,0,0,1
578,1,1,1
579,1,1,1
580,1,1,1
581,1,1,1
582,1,1,1
583,0,0,0
584,1,1,0
585,1,1,1
586,1,1,1
587,1,1,1
588,1,1,1
589,1,1,1
590,1,1,0
591,1,1,1
592,0,1,1
593,0,0,0
594,1,1,0
595,1,1,1
596,1,1,1
597,1,1,1
598,1,1,0
599,1,1,1
600,1,1,1
602,0,1,1
603,1,0,0
604,1,1,1
605,0,1,1
606,1,1,1
607,1,0,0
608,1,1,1
610,1,1,0
611,0,0,0
612,1,1,1
614,1,1,1
615,1,1,1
616,0,0,0
617,1,1,0
618,1,1,1
619,1,1,1
620,1,1,1
622,1,1,1
623,0,0,1
624,1,1,1
625,1,1,1
626,1,0,0
627,1,1,0
628,0,1,1
629,1,1,1
630,1,1,1
631,1,1,1
632,0,0,0
633,1,1,1
635,1,1,1
637,1,1,1
638,0,0,0
639,1,1,1
640,1,1,1
641,1,1,1
643,1,1,1
644,1,1,1
720,1,1,1
721,0,1,1
722,1,1,1
723,1,1,0
724,1,1,1
725,1,1,1
726,1,0,0
728,1,0,0
730,1,1,1
731,1,1,1
732,1,1,1
733,0,0,1
734,1,1,1
735,1,1,1
736,1,1,1
737,1,1,1
738,1,0,0
739,1,1,1
740,0,0,0
741,1,1,1
742,1,1,1
743,1,1,1
744,1,1,0
745,0,0,0
746,0,1,1
747,1,0,0
748,1,1,1
749,0,1,1
750,1,0,0
751,1,0,0
752,1,1,1
753,0,0,1
754,1,1,1
755,1,1,1
756,1,1,1
757,0,0,0
758,1,1,1
759,1,1,1
760,0,0,0
762,1,1,1
763,1,1,1
764,0,1,1
765,1,1,1
766,1,1,1
767,1,1,0
769,1,1,1
770,1,1,1
771,0,1,1
772,1,1,1
773,1,1,1
775,1,1,0
776,1,1,1
777,1,0,0
778,1,1,1
779,1,1,1
780,1,1,1
781,1,1,1
782,0,1,1
783,1,1,1
784,1,1,0
785,1,1,0
786,0,0,0
787,1,0,0
788,1,1,0
790,0,0,1
791,1,1,1
792,1,1,1
793,0,1,1
794,1,1,1
796,1,1,1
797,1,1,1
798,1,1,1
799,0,0,0
800,1,1,1
801,1,1,1
802,0,0,0
803,1,1,1
804,1,1,1
805,1,1,1
806,1,1,1
807,0,0,0
808,1,1,1
809,1,1,1
