problem_id,evol_algorithmic_practical_0_10_run_1_dsc,evol_algorithmic_practical_2_8_run_1_dsc,evol_algorithmic_practical_5_5_run_1_dsc,evol_algorithmic_practical_8_2_run_1_dsc,evol_algorithmic_practical_10_0_run_1_dsc,evol_algorithmic_practical_0_10_run_2_dsc,evol_algorithmic_practical_2_8_run_2_dsc,evol_algorithmic_practical_5_5_run_2_dsc,evol_algorithmic_practical_8_2_run_2_dsc,evol_algorithmic_practical_10_0_run_2_dsc,evol_algorithmic_practical_0_10_run_3_dsc,evol_algorithmic_practical_2_8_run_3_dsc,evol_algorithmic_practical_5_5_run_3_dsc,evol_algorithmic_practical_8_2_run_3_dsc,evol_algorithmic_practical_10_0_run_3_dsc
1873_A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1873_B,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1873_D,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1899_A,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2727,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
2756,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2777,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2785,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
2791,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2800,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2824,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2825,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2831,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2844,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2847,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2870,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2876,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2881,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2886,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2977,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2998,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2999,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3019,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3034,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3093,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3154,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3163,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1
3164,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1
3172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3176,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3183,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3188,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3193,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
3194,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3199,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3206,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3207,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3221,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3227,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3236,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3242,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3246,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3251,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3263,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3309,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
