problem_id,oss_algorithmic_practical_0_10_run_1_cq,oss_algorithmic_practical_2_8_run_1_cq,oss_algorithmic_practical_5_5_run_1_cq,oss_algorithmic_practical_8_2_run_1_cq,oss_algorithmic_practical_10_0_run_1_cq,oss_algorithmic_practical_0_10_run_2_cq,oss_algorithmic_practical_2_8_run_2_cq,oss_algorithmic_practical_5_5_run_2_cq,oss_algorithmic_practical_8_2_run_2_cq,oss_algorithmic_practical_10_0_run_2_cq,oss_algorithmic_practical_0_10_run_3_cq,oss_algorithmic_practical_2_8_run_3_cq,oss_algorithmic_practical_5_5_run_3_cq,oss_algorithmic_practical_8_2_run_3_cq,oss_algorithmic_practical_10_0_run_3_cq
1873_A,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
1873_B,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1873_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899_A,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
2727,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2756,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2777,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1
2785,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1
2791,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2800,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
2812,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2816,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2819,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2824,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
2825,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
2831,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2844,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2857,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2866,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2870,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2876,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2881,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2886,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2892,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
2902,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2917,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
2955,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2977,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1
3019,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
3034,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3044,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3045,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
3055,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
3093,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3164,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3172,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
3176,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
3183,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3199,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3207,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3220,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3226,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
3227,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
3236,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0
3242,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3246,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1
3251,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3252,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
3263,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
3309,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3311,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3312,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc301_a,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
abc301_b,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
abc302_a,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
abc303_a,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc303_b,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
abc304_a,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc304_b,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc305_a,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc305_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc306_a,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
abc306_b,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
abc307_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc307_b,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
abc308_a,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc308_b,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
abc309_a,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc309_b,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
abc310_a,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
abc310_b,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc311_a,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
abc311_b,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
abc312_a,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
abc312_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc313_a,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc314_a,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
abc314_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc315_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc315_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc318_a,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
abc318_b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc319_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc320_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc320_b,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
abc321_a,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc321_b,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
abc322_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc322_b,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
abc323_a,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
abc323_b,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
abc324_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc324_b,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
