problem_id,oss_algorithmic_practical_0_10_run_1_dsc,oss_algorithmic_practical_2_8_run_1_dsc,oss_algorithmic_practical_5_5_run_1_dsc,oss_algorithmic_practical_8_2_run_1_dsc,oss_algorithmic_practical_10_0_run_1_dsc,oss_algorithmic_practical_0_10_run_2_dsc,oss_algorithmic_practical_2_8_run_2_dsc,oss_algorithmic_practical_5_5_run_2_dsc,oss_algorithmic_practical_8_2_run_2_dsc,oss_algorithmic_practical_10_0_run_2_dsc,oss_algorithmic_practical_0_10_run_3_dsc,oss_algorithmic_practical_2_8_run_3_dsc,oss_algorithmic_practical_5_5_run_3_dsc,oss_algorithmic_practical_8_2_run_3_dsc,oss_algorithmic_practical_10_0_run_3_dsc
1873_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873_B,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
1873_D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1899_A,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2756,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
2777,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2785,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2791,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2800,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
2812,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2816,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2819,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2824,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2825,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2831,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2870,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
2876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2881,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2886,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2892,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
2902,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
