problem_id,evol_algorithmic_practical_0_10_run_1_cq,evol_algorithmic_practical_2_8_run_1_cq,evol_algorithmic_practical_5_5_run_1_cq,evol_algorithmic_practical_8_2_run_1_cq,evol_algorithmic_practical_10_0_run_1_cq,evol_algorithmic_practical_0_10_run_2_cq,evol_algorithmic_practical_2_8_run_2_cq,evol_algorithmic_practical_5_5_run_2_cq,evol_algorithmic_practical_8_2_run_2_cq,evol_algorithmic_practical_10_0_run_2_cq,evol_algorithmic_practical_0_10_run_3_cq,evol_algorithmic_practical_2_8_run_3_cq,evol_algorithmic_practical_5_5_run_3_cq,evol_algorithmic_practical_8_2_run_3_cq,evol_algorithmic_practical_10_0_run_3_cq
1873_A,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1873_B,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1873_D,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
1883_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899_A,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
1899_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2727,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2755,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2756,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2777,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2784,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2785,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2812,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2816,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2819,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2824,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
2825,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2827,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2839,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2844,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2847,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2849,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2850,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2857,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
2866,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2870,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2872,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2876,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2877,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
2882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2886,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2887,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
2902,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2999,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3033,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3034,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3044,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
3045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3091,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3093,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3106,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3114,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3154,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3163,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3183,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3188,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1
3190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
3207,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3213,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3220,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3221,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3226,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
3227,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
3228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
3243,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3251,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3252,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3309,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3311,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3312,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
3324,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3331,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3347,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
abc301_a,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
abc301_b,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc301_c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abc301_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc301_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc301_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc302_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc302_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc302_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc302_d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc302_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc302_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc303_a,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1
abc303_b,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc303_c,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
abc303_d,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
abc303_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc304_a,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
abc304_b,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
abc304_c,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
abc304_d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc304_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc305_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc305_b,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0
abc305_c,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
abc305_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc305_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc306_a,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
abc306_b,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
abc306_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc306_d,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
abc306_e,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc307_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc307_b,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
abc307_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc307_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abc307_e,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
