problem_id,evol_algorithmic_practical_0_10_run_1_cq,evol_algorithmic_practical_2_8_run_1_cq,evol_algorithmic_practical_5_5_run_1_cq,evol_algorithmic_practical_8_2_run_1_cq,evol_algorithmic_practical_10_0_run_1_cq,evol_algorithmic_practical_0_10_run_2_cq,evol_algorithmic_practical_2_8_run_2_cq,evol_algorithmic_practical_5_5_run_2_cq,evol_algorithmic_practical_8_2_run_2_cq,evol_algorithmic_practical_10_0_run_2_cq,evol_algorithmic_practical_0_10_run_3_cq,evol_algorithmic_practical_2_8_run_3_cq,evol_algorithmic_practical_5_5_run_3_cq,evol_algorithmic_practical_8_2_run_3_cq,evol_algorithmic_practical_10_0_run_3_cq
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
6,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
14,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
20,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
56,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
