problem_id,evol_algorithmic_practical_0_10_run_1_dsc,evol_algorithmic_practical_2_8_run_1_dsc,evol_algorithmic_practical_5_5_run_1_dsc,evol_algorithmic_practical_8_2_run_1_dsc,evol_algorithmic_practical_10_0_run_1_dsc,evol_algorithmic_practical_0_10_run_2_dsc,evol_algorithmic_practical_2_8_run_2_dsc,evol_algorithmic_practical_5_5_run_2_dsc,evol_algorithmic_practical_8_2_run_2_dsc,evol_algorithmic_practical_10_0_run_2_dsc,evol_algorithmic_practical_0_10_run_3_dsc,evol_algorithmic_practical_2_8_run_3_dsc,evol_algorithmic_practical_5_5_run_3_dsc,evol_algorithmic_practical_8_2_run_3_dsc,evol_algorithmic_practical_10_0_run_3_dsc
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
57,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
58,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
