problem_id,oss_algorithmic_practical_0_10_run_1_cq,oss_algorithmic_practical_2_8_run_1_cq,oss_algorithmic_practical_5_5_run_1_cq,oss_algorithmic_practical_8_2_run_1_cq,oss_algorithmic_practical_10_0_run_1_cq,oss_algorithmic_practical_0_10_run_2_cq,oss_algorithmic_practical_2_8_run_2_cq,oss_algorithmic_practical_5_5_run_2_cq,oss_algorithmic_practical_8_2_run_2_cq,oss_algorithmic_practical_10_0_run_2_cq,oss_algorithmic_practical_0_10_run_3_cq,oss_algorithmic_practical_2_8_run_3_cq,oss_algorithmic_practical_5_5_run_3_cq,oss_algorithmic_practical_8_2_run_3_cq,oss_algorithmic_practical_10_0_run_3_cq
2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
6,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
7,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
56,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1
59,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0
67,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
70,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
84,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
85,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
86,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0
88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
92,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
