problem_id,oss_algorithmic_practical_0_10_run_1_dsc,oss_algorithmic_practical_2_8_run_1_dsc,oss_algorithmic_practical_5_5_run_1_dsc,oss_algorithmic_practical_8_2_run_1_dsc,oss_algorithmic_practical_10_0_run_1_dsc,oss_algorithmic_practical_0_10_run_2_dsc,oss_algorithmic_practical_2_8_run_2_dsc,oss_algorithmic_practical_5_5_run_2_dsc,oss_algorithmic_practical_8_2_run_2_dsc,oss_algorithmic_practical_10_0_run_2_dsc,oss_algorithmic_practical_0_10_run_3_dsc,oss_algorithmic_practical_2_8_run_3_dsc,oss_algorithmic_practical_5_5_run_3_dsc,oss_algorithmic_practical_8_2_run_3_dsc,oss_algorithmic_practical_10_0_run_3_dsc
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
7,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0
8,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
19,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
63,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
64,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
69,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
70,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0
71,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
72,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
