problem_id,evol_low_diversity_cq,evol_medium_diversity_cq,evol_high_diversity_cq
HumanEval/0,1,1,1
HumanEval/1,1,1,0
HumanEval/2,1,0,1
HumanEval/3,1,1,1
HumanEval/4,1,1,1
HumanEval/5,1,1,0
HumanEval/6,0,1,0
HumanEval/7,0,1,1
HumanEval/8,1,1,1
HumanEval/9,1,1,1
HumanEval/10,1,1,1
HumanEval/11,1,1,1
HumanEval/12,1,0,1
HumanEval/13,1,1,1
HumanEval/14,1,1,1
HumanEval/15,1,1,1
HumanEval/16,1,1,1
HumanEval/17,1,1,1
HumanEval/18,1,1,1
HumanEval/19,1,1,1
HumanEval/20,1,1,1
HumanEval/21,1,0,1
HumanEval/22,1,1,1
HumanEval/23,1,1,1
HumanEval/24,0,1,1
HumanEval/25,1,1,1
HumanEval/26,1,1,1
HumanEval/27,1,1,1
HumanEval/28,1,1,1
HumanEval/29,1,1,1
HumanEval/30,0,1,0
HumanEval/31,0,1,1
HumanEval/32,0,1,0
HumanEval/33,1,0,1
HumanEval/34,0,1,0
HumanEval/35,1,0,1
HumanEval/36,0,1,0
HumanEval/37,0,1,0
HumanEval/38,0,1,0
HumanEval/39,1,0,1
HumanEval/40,1,1,1
HumanEval/41,1,0,1
HumanEval/42,1,0,1
HumanEval/43,1,0,1
HumanEval/44,0,1,0
HumanEval/45,0,1,0
HumanEval/46,0,1,0
HumanEval/47,0,1,0
HumanEval/48,0,1,0
HumanEval/49,0,1,1
HumanEval/50,1,1,1
HumanEval/51,0,1,0
HumanEval/52,0,1,0
HumanEval/53,1,0,1
HumanEval/54,1,1,1
HumanEval/55,1,0,1
HumanEval/56,0,1,0
HumanEval/57,0,1,0
HumanEval/58,1,1,1
HumanEval/59,0,1,0
HumanEval/60,1,0,1
HumanEval/61,0,1,0
HumanEval/62,0,1,0
HumanEval/63,0,1,0
HumanEval/64,1,0,1
HumanEval/65,1,0,1
HumanEval/66,1,0,1
HumanEval/67,0,1,1
HumanEval/68,1,0,1
HumanEval/69,0,1,1
HumanEval/70,1,0,1
HumanEval/71,1,0,1
HumanEval/72,1,0,1
HumanEval/73,0,1,0
HumanEval/74,1,0,1
HumanEval/75,1,0,1
HumanEval/76,1,0,1
HumanEval/77,0,1,0
HumanEval/78,1,0,1
HumanEval/79,0,1,0
HumanEval/80,1,0,1
HumanEval/81,1,1,1
HumanEval/82,1,0,1
HumanEval/83,1,0,1
HumanEval/84,1,0,1
HumanEval/85,1,0,1
HumanEval/86,0,1,0
HumanEval/87,0,1,1
HumanEval/88,1,0,1
HumanEval/89,0,1,1
HumanEval/90,0,1,0
HumanEval/91,1,0,1
HumanEval/92,0,1,0
HumanEval/93,1,0,1
HumanEval/94,0,1,0
HumanEval/95,0,1,1
HumanEval/96,1,0,1
HumanEval/97,1,0,1
HumanEval/98,0,1,0
HumanEval/99,1,0,1
HumanEval/100,1,0,1
HumanEval/101,0,1,0
HumanEval/102,0,1,0
HumanEval/103,0,1,1
HumanEval/104,1,0,1
HumanEval/105,0,1,1
HumanEval/106,1,1,1
HumanEval/107,0,1,0
HumanEval/108,1,0,1
HumanEval/109,0,1,0
HumanEval/110,1,0,1
HumanEval/111,0,1,0
HumanEval/112,0,1,1
HumanEval/113,0,1,0
HumanEval/114,1,0,1
HumanEval/115,1,0,1
HumanEval/116,1,0,1
HumanEval/117,1,0,1
HumanEval/118,0,1,0
HumanEval/119,0,1,0
HumanEval/120,0,1,0
HumanEval/121,0,1,0
HumanEval/122,1,0,1
HumanEval/123,0,1,0
HumanEval/124,1,0,1
HumanEval/125,1,0,1
HumanEval/126,0,1,0
HumanEval/127,1,1,1
HumanEval/128,0,1,0
HumanEval/129,1,0,1
HumanEval/130,1,0,1
HumanEval/131,1,0,1
HumanEval/132,0,1,0
HumanEval/133,1,0,1
HumanEval/134,0,0,0
HumanEval/135,0,0,0
HumanEval/136,1,0,0
HumanEval/137,0,0,0
HumanEval/138,1,0,1
HumanEval/139,0,0,0
HumanEval/140,0,0,0
HumanEval/141,0,0,0
HumanEval/142,0,0,0
HumanEval/143,0,0,0
HumanEval/144,0,0,1
HumanEval/145,0,1,0
HumanEval/146,0,0,0
HumanEval/147,1,0,0
HumanEval/148,0,0,0
HumanEval/149,0,0,1
HumanEval/150,0,0,0
HumanEval/151,0,0,1
HumanEval/152,0,0,0
HumanEval/153,0,1,0
HumanEval/154,1,0,0
HumanEval/155,1,0,0
HumanEval/156,0,1,0
HumanEval/157,0,1,0
HumanEval/158,0,0,0
HumanEval/159,0,1,0
HumanEval/160,0,0,1
HumanEval/161,1,0,1
HumanEval/162,0,0,0
HumanEval/163,0,1,0
