problem_id,evol_low_diversity_cq,evol_medium_diversity_cq,evol_high_diversity_cq
1873_A,0,1,0
1873_B,0,0,1
1873_D,0,0,0
1899_A,0,1,0
2727,1,0,1
2756,1,0,1
2777,1,0,1
2785,0,1,0
2791,0,0,0
2800,1,0,1
2812,0,1,0
2816,1,0,1
2819,1,0,1
2824,1,0,1
2825,0,0,1
2831,0,1,0
2844,1,0,1
2847,0,0,1
2857,0,1,0
2866,0,1,0
2870,0,1,0
2876,0,0,0
2881,0,1,0
2886,0,0,0
2892,1,0,1
2902,0,1,0
2917,0,0,0
2955,0,0,0
2977,0,1,0
2998,0,1,0
2999,1,0,1
3019,0,1,0
3034,0,0,0
3044,0,1,0
3045,0,1,0
3055,1,0,1
3093,0,1,0
3154,0,0,1
3163,1,0,1
3164,1,0,1
3172,1,0,0
3176,0,1,0
3183,1,0,1
3188,0,1,0
3193,0,1,0
3194,0,1,0
3199,0,1,0
3206,0,1,0
3207,1,0,0
3220,0,0,1
3221,0,1,0
3226,0,1,0
3227,0,1,0
3236,0,1,0
3242,1,0,1
3246,1,0,1
3251,0,0,1
3252,0,0,0
3263,0,0,1
3309,1,0,1
3311,0,1,0
3312,0,1,0
3320,0,1,0
3324,1,0,1
3331,1,0,1
3347,0,1,0
abc301_a,0,1,0
abc301_b,0,1,0
abc302_a,1,0,1
abc303_a,1,0,1
abc303_b,0,1,0
abc304_a,1,0,1
abc304_b,0,1,0
abc305_a,0,0,0
abc305_b,1,0,0
abc306_a,0,1,0
abc306_b,1,0,1
abc307_a,0,0,1
abc307_b,1,0,1
abc308_a,1,0,1
abc308_b,1,0,1
abc309_a,1,0,1
abc309_b,0,1,0
abc310_a,0,1,0
abc310_b,0,1,0
abc311_a,0,0,1
abc311_b,0,0,1
abc312_a,0,1,0
abc312_b,0,0,0
abc313_a,1,0,1
abc314_a,1,0,1
abc314_b,0,1,0
abc315_a,0,0,0
abc315_b,0,1,0
abc318_a,0,0,0
abc318_b,0,1,0
abc319_b,0,0,0
abc320_a,1,0,1
abc320_b,1,0,1
abc321_a,1,0,1
abc321_b,0,0,1
abc322_a,0,1,0
abc322_b,0,1,0
abc323_a,0,1,0
abc323_b,0,1,0
abc324_a,1,0,1
abc324_b,0,1,0
abc325_a,1,0,0
abc326_a,1,0,1
abc326_b,1,0,0
abc327_a,0,1,0
abc327_b,0,0,0
abc328_a,1,0,1
abc328_b,0,1,0
abc329_a,0,1,0
abc329_b,0,0,1
abc330_a,1,0,1
abc330_b,0,1,0
abc331_a,1,0,1
abc331_b,0,0,0
abc332_a,0,0,0
abc332_b,0,0,0
abc333_a,0,0,0
abc333_b,0,0,0
abc334_a,1,0,1
abc335_a,1,0,1
abc335_b,0,1,0
abc336_a,0,0,1
abc336_b,0,0,1
abc337_a,0,0,1
abc337_b,0,0,1
abc338_a,0,0,0
abc338_b,0,0,1
abc339_a,0,0,1
abc340_a,0,1,0
abc340_b,0,1,0
abc341_a,0,1,0
abc341_b,0,0,0
abc342_a,0,1,0
abc342_b,1,0,0
abc343_a,1,0,1
abc343_b,0,1,0
abc344_a,0,1,0
abc344_b,0,1,0
abc345_b,0,0,1
abc346_b,0,1,0
abc346_a,0,1,0
abc347_a,0,0,1
abc347_b,0,0,1
abc348_b,0,1,0
abc348_a,0,0,0
abc349_a,0,0,0
abc349_b,1,0,1
abc350_a,1,0,1
abc350_b,1,0,1
abc351_a,1,0,0
abc351_b,1,0,1
abc352_a,1,0,1
abc352_b,0,0,1
abc353_b,1,0,0
abc353_a,1,0,0
abc354_b,0,1,0
abc354_a,1,0,0
abc355_b,1,0,1
abc355_a,0,1,0
3334,0,1,0
3353,1,0,1
3349,0,1,0
3371,0,1,0
3372,0,0,0
3361,0,1,0
3367,0,1,0
3381,0,1,0
3379,0,1,0
3408,1,0,1
3397,0,1,0
3396,1,0,1
3398,0,1,0
3412,0,0,1
3429,1,0,1
3446,0,0,1
3428,0,0,1
abc356_a,1,0,1
abc356_b,1,0,1
abc357_a,0,1,0
abc357_b,0,1,0
abc358_b,1,0,0
abc358_a,1,0,1
abc359_b,1,0,1
abc359_a,0,0,1
abc360_b,1,0,1
abc360_a,0,1,0
abc361_a,0,1,0
abc362_a,0,0,1
