problem_id,evol_low_diversity_dsc,evol_medium_diversity_dsc,evol_high_diversity_dsc
1873_A,0,1,0
1873_B,0,0,0
1873_D,1,0,1
1899_A,0,0,0
2727,1,0,0
2756,0,0,0
2777,1,0,1
2785,0,1,0
2791,0,0,0
2800,1,0,1
2812,1,0,0
2816,1,0,1
2819,0,1,0
2824,1,0,1
2825,0,1,0
2831,0,1,0
2844,0,1,0
2847,0,1,0
2857,0,0,0
2866,0,0,1
2870,1,0,1
2876,0,0,0
2881,0,0,0
2886,1,0,1
2892,0,0,0
2902,0,0,0
2917,0,0,1
2955,0,0,0
2977,0,1,0
2998,1,0,1
2999,1,0,1
3019,0,1,0
3034,0,0,1
3044,0,1,0
3045,1,0,0
3055,0,0,0
3093,1,0,1
3154,1,0,1
3163,1,0,1
3164,0,0,0
3172,0,0,1
3176,0,1,0
3183,0,1,0
3188,0,1,0
3193,0,1,0
3194,0,0,1
3199,0,1,0
3206,1,0,1
3207,0,0,1
3220,0,0,0
3221,0,1,0
3226,1,0,1
3227,0,0,0
3236,0,0,1
3242,1,0,0
3246,1,0,1
3251,0,0,0
3252,0,1,0
3263,0,1,0
3309,0,1,0
3311,0,1,0
3312,0,1,0
3320,0,1,0
3324,1,0,0
3331,0,1,0
3347,1,0,1
abc301_a,0,1,0
abc301_b,1,0,1
abc302_a,0,0,0
abc303_a,1,0,0
abc303_b,1,0,1
abc304_a,1,0,0
abc304_b,1,0,0
abc305_a,0,1,0
abc305_b,0,1,0
abc306_a,1,0,0
abc306_b,0,1,0
abc307_a,0,0,1
abc307_b,0,0,0
abc308_a,0,0,0
abc308_b,0,1,0
abc309_a,0,0,0
abc309_b,0,0,0
abc310_a,1,0,1
abc310_b,0,1,0
abc311_a,0,0,1
abc311_b,0,1,0
abc312_a,1,0,1
abc312_b,1,0,0
abc313_a,1,0,1
abc314_a,0,1,0
abc314_b,0,0,1
abc315_a,1,0,0
abc315_b,0,0,1
abc318_a,1,0,1
abc318_b,1,0,1
abc319_b,0,1,0
abc320_a,1,0,1
abc320_b,0,1,0
abc321_a,0,1,0
abc321_b,0,1,0
abc322_a,0,1,0
abc322_b,0,0,0
abc323_a,0,1,0
abc323_b,0,0,0
abc324_a,0,0,1
abc324_b,0,1,0
abc325_a,0,1,0
abc326_a,0,0,1
abc326_b,1,0,1
abc327_a,0,1,0
abc327_b,0,0,0
abc328_a,1,0,1
abc328_b,0,0,1
abc329_a,0,0,0
abc329_b,0,1,0
abc330_a,0,0,1
abc330_b,1,0,1
abc331_a,1,0,1
abc331_b,0,1,0
abc332_a,0,1,0
abc332_b,0,1,0
abc333_a,1,0,1
abc333_b,0,0,0
abc334_a,0,1,0
abc335_a,0,1,0
abc335_b,1,0,0
abc336_a,0,1,0
abc336_b,1,0,1
abc337_a,1,0,1
abc337_b,0,0,0
abc338_a,0,0,0
abc338_b,1,0,1
abc339_a,0,1,0
abc340_a,0,1,0
abc340_b,1,0,1
abc341_a,0,0,1
abc341_b,0,0,0
abc342_a,0,0,0
abc342_b,0,1,0
abc343_a,0,0,0
abc343_b,1,0,1
abc344_a,0,1,0
abc344_b,0,0,0
abc345_b,0,1,0
abc346_b,0,1,0
abc346_a,0,0,1
abc347_a,1,0,0
abc347_b,0,1,0
abc348_b,0,1,0
abc348_a,1,0,1
abc349_a,1,0,1
abc349_b,0,1,0
abc350_a,1,0,1
abc350_b,0,0,1
abc351_a,0,0,0
abc351_b,0,1,0
abc352_a,1,0,1
abc352_b,0,1,0
abc353_b,0,0,1
abc353_a,0,0,0
abc354_b,0,0,0
abc354_a,0,0,0
abc355_b,0,1,0
abc355_a,1,0,1
3334,0,1,0
3353,0,0,1
3349,0,1,0
3371,0,0,1
3372,0,0,0
3361,0,0,0
3367,0,1,0
3381,0,1,0
3379,1,0,1
3408,1,0,1
3397,0,0,1
3396,0,0,0
3398,0,0,0
3412,0,0,0
3429,0,0,1
3446,0,0,1
3428,0,1,0
abc356_a,0,0,0
abc356_b,1,0,1
abc357_a,0,1,0
abc357_b,1,0,1
abc358_b,0,1,0
abc358_a,0,1,0
abc359_b,0,1,0
abc359_a,0,0,0
abc360_b,1,0,1
abc360_a,0,1,0
abc361_a,0,0,1
abc362_a,0,1,0
abc362_b,0,1,0
abc363_a,0,0,1
abc363_b,1,0,0
abc364_b,0,0,1
abc364_a,0,0,0
abc365_b,0,0,1
abc365_a,0,0,1
3426,1,0,1
3450,0,1,0
3421,1,0,1
3471,0,1,0
3469,1,0,1
3468,0,0,0
3484,0,0,0
3508,1,0,1
3515,0,1,0
3533,1,0,1
3447,0,0,1
3476,1,0,1
3463,0,1,0
3511,1,0,0
3519,1,0,1
abc366_b,0,1,0
abc366_a,1,0,1
abc367_a,1,0,1
abc367_b,0,0,0
abc368_a,0,1,0
abc368_b,0,1,0
abc369_a,1,0,0
abc369_b,0,0,0
abc370_a,1,0,1
abc370_b,0,0,1
abc371_b,1,0,1
abc371_a,0,0,1
abc372_a,0,1,0
abc373_a,1,0,0
abc373_b,0,1,0
3543,0,1,0
3555,1,0,1
3553,1,0,1
3567,0,1,0
3568,1,0,1
3600,0,1,0
3606,0,1,0
abc374_b,0,1,0
abc374_a,0,0,0
abc375_b,0,1,0
abc375_a,1,0,0
abc376_a,1,0,1
