problem_id,evol_low_diversity_cq,evol_medium_diversity_cq,evol_high_diversity_cq
2,0,1,0
3,0,1,0
4,1,0,1
6,1,0,1
7,1,1,0
8,1,0,1
9,0,1,0
11,0,1,1
12,1,1,1
14,0,1,0
16,0,1,0
17,0,1,0
18,1,1,1
19,0,1,1
20,0,1,0
56,0,1,0
57,1,0,1
58,1,0,1
59,0,1,1
61,1,0,1
62,1,1,1
63,1,1,1
64,1,0,1
65,0,1,0
66,0,1,0
67,1,0,1
68,0,1,0
69,1,0,1
70,1,0,1
71,1,0,1
72,1,0,1
74,0,1,1
75,0,1,0
77,1,1,0
79,0,1,0
80,1,0,1
82,1,1,0
83,0,1,0
84,1,1,1
85,1,0,1
86,1,0,1
87,0,1,0
88,0,1,0
89,1,0,1
90,1,0,1
91,0,1,0
92,1,1,1
93,0,1,0
94,1,0,1
95,0,1,0
96,1,0,1
97,0,1,0
98,0,1,1
99,1,0,1
100,1,0,1
101,0,1,0
102,0,1,0
103,0,1,0
104,0,1,0
105,0,1,0
106,0,1,0
108,1,0,1
109,1,0,1
111,0,1,0
113,0,1,0
115,0,1,0
116,1,0,1
117,1,1,1
118,1,0,1
119,1,0,1
120,1,0,1
123,1,0,1
124,1,0,1
125,0,1,0
126,1,1,1
127,1,0,1
128,0,1,0
129,1,1,1
130,0,1,0
131,0,1,1
132,1,1,1
133,1,1,1
135,0,1,0
137,1,0,1
138,1,0,1
139,0,1,1
140,0,1,0
141,1,1,1
142,1,0,1
143,0,1,0
145,1,1,1
160,0,1,0
161,1,0,1
162,1,0,1
163,1,0,1
164,1,1,1
165,0,1,0
166,1,1,1
167,1,0,1
168,0,1,1
170,0,1,0
171,0,1,0
172,1,0,1
222,1,0,1
223,1,0,1
224,0,1,0
226,0,1,0
227,0,1,1
228,1,0,1
229,1,0,1
230,1,0,1
232,1,0,1
233,1,0,1
234,1,0,1
235,0,1,0
237,1,1,1
238,1,0,1
239,1,0,1
240,1,0,1
242,0,1,0
244,1,1,0
245,1,0,1
246,0,1,0
247,1,0,1
248,0,1,0
249,1,1,1
250,0,1,0
251,1,0,1
252,0,1,1
253,1,1,1
255,0,1,0
256,1,0,1
257,1,1,1
259,1,0,1
260,1,0,1
261,0,1,0
262,0,1,1
264,0,1,0
265,0,1,0
266,0,1,0
267,1,0,1
268,0,1,1
269,0,1,0
270,0,1,1
271,0,1,0
272,1,0,1
273,1,0,1
274,1,1,1
276,0,1,0
277,0,1,0
278,1,1,0
279,0,1,0
280,1,0,1
281,0,1,0
282,1,0,1
283,0,1,0
284,1,0,1
285,0,1,0
286,1,0,1
287,0,1,0
290,1,1,1
291,1,0,1
292,0,1,0
293,0,1,0
294,0,1,1
295,0,1,0
296,1,1,1
297,1,0,1
299,0,1,1
300,1,0,1
301,1,0,1
304,0,1,0
305,1,0,1
306,0,1,0
307,1,1,1
308,1,0,1
309,0,1,1
310,0,1,0
311,1,0,1
312,1,1,0
388,1,0,1
389,1,1,0
390,0,1,0
391,1,0,1
392,1,0,1
393,0,1,1
394,1,0,1
395,1,0,1
396,0,1,0
397,0,1,0
398,0,1,0
399,1,1,1
400,1,1,1
401,1,1,0
404,0,1,0
405,1,0,1
406,0,1,0
407,1,0,1
408,1,0,1
409,1,1,1
410,1,0,1
411,1,1,0
412,1,0,1
413,1,0,1
414,1,0,1
415,1,1,0
417,0,1,0
418,0,1,0
419,1,1,1
420,0,1,0
421,1,0,1
422,1,0,1
424,1,1,0
425,1,0,1
426,0,1,0
427,1,1,1
428,1,0,1
429,1,0,1
430,0,1,0
431,0,1,0
432,1,0,1
433,0,1,0
434,0,1,0
435,1,0,1
436,0,1,0
437,0,1,0
438,0,1,0
439,1,0,1
440,1,0,1
441,0,1,0
442,1,1,1
443,1,1,1
444,1,1,1
445,0,1,0
446,1,0,1
447,0,1,1
448,1,1,1
450,1,0,1
451,1,0,1
452,0,1,0
453,0,1,1
454,0,1,0
455,0,1,0
456,0,1,0
457,0,1,0
458,1,0,1
459,0,1,0
460,1,0,1
461,1,0,1
462,1,0,1
463,0,1,0
464,1,1,0
465,1,1,0
468,1,1,1
470,1,0,1
471,1,1,1
472,1,0,1
473,0,1,0
474,0,1,0
475,1,0,1
476,0,1,0
477,1,0,1
478,1,0,1
479,1,1,1
554,0,1,0
555,1,1,1
556,1,1,1
557,1,0,1
558,1,0,1
559,0,1,0
560,0,1,0
562,1,0,1
563,1,1,0
564,1,0,1
565,1,1,1
566,0,1,0
567,1,0,1
568,1,0,1
569,1,1,1
572,0,1,0
573,0,1,0
574,1,1,1
576,1,0,1
577,1,0,1
578,1,0,1
579,0,1,0
580,1,0,1
581,1,0,1
582,1,0,1
583,1,0,1
584,1,1,1
