problem_id,evol_low_diversity_dsc,evol_medium_diversity_dsc,evol_high_diversity_dsc
2,0,1,0
3,1,0,1
4,1,0,1
6,0,1,0
7,1,1,1
8,0,1,0
9,1,1,1
11,1,0,1
12,0,1,0
14,1,1,1
16,1,0,1
17,1,1,1
18,0,1,0
19,1,1,1
20,1,1,1
56,0,1,1
57,1,1,0
58,1,1,1
59,0,1,0
61,1,0,1
62,1,0,1
63,1,0,1
64,1,0,1
65,1,0,1
66,1,0,1
67,0,1,0
68,0,1,0
69,1,0,1
70,0,1,0
71,1,0,1
72,1,1,1
74,1,0,1
75,0,1,0
77,0,1,1
79,1,0,1
80,1,0,1
82,0,1,0
83,0,1,1
84,0,1,0
85,1,0,1
86,1,0,1
87,1,1,1
88,1,1,1
89,1,0,1
90,0,1,1
91,1,0,1
92,0,1,0
93,1,1,1
94,0,1,0
95,1,0,1
96,0,1,0
97,0,1,0
98,1,1,1
99,1,1,1
100,1,0,1
101,0,1,0
102,0,1,0
103,0,1,0
104,0,1,0
105,0,1,0
106,1,0,1
108,1,1,1
109,0,1,0
111,1,1,1
113,1,0,1
115,1,1,1
116,0,1,0
117,1,0,1
118,1,1,0
119,0,1,0
120,1,0,1
123,1,1,1
124,1,0,1
125,1,1,1
126,1,0,1
127,0,1,0
128,0,1,0
129,0,1,0
130,1,0,1
131,0,1,0
132,1,1,1
133,1,0,1
135,0,1,0
137,1,1,0
138,0,1,1
139,1,1,1
140,1,0,1
141,0,1,0
142,0,1,0
143,0,1,0
145,0,1,0
160,1,1,1
161,1,0,1
162,0,1,1
163,1,0,1
164,0,1,0
165,1,0,1
166,1,1,1
167,1,1,1
168,0,1,0
170,1,0,1
171,1,0,1
172,1,0,1
222,1,0,1
223,0,1,1
224,1,0,1
226,1,1,1
227,1,1,1
228,0,1,0
229,0,1,0
230,0,1,0
232,1,1,1
233,1,1,1
234,0,1,0
235,1,1,1
237,1,0,1
238,1,0,1
239,1,1,1
240,0,1,0
242,0,1,0
244,1,1,1
245,1,0,1
246,0,1,1
247,1,1,1
248,1,0,1
249,0,1,0
250,1,0,1
251,1,0,1
252,0,1,0
253,0,1,0
255,0,1,0
256,1,0,1
257,0,1,0
259,1,1,1
260,1,0,1
261,0,1,0
262,1,0,1
264,1,1,1
265,0,1,0
266,0,1,0
267,0,1,0
268,1,0,1
269,1,0,1
270,0,1,1
271,0,1,0
272,1,0,1
273,1,0,1
274,1,0,1
276,1,0,1
277,0,1,0
278,0,1,0
279,1,0,1
280,1,1,1
281,1,0,1
282,0,1,0
283,1,0,1
284,1,0,1
285,0,1,0
286,1,0,1
287,1,0,1
290,1,0,1
291,1,0,1
292,1,0,1
293,1,1,1
294,0,1,0
295,0,1,0
296,1,1,1
297,1,0,1
299,0,1,0
300,1,0,1
301,1,0,1
304,1,0,1
305,1,1,1
306,1,0,1
307,1,0,1
308,1,0,1
309,1,0,1
310,1,0,1
311,1,0,1
312,1,0,1
388,1,0,1
389,0,1,0
390,0,1,0
391,0,1,0
392,1,0,1
393,1,0,1
394,0,1,0
395,0,1,0
396,0,1,0
397,1,1,1
398,0,1,1
399,1,0,1
400,1,0,1
401,1,1,1
404,1,0,1
405,1,0,1
406,1,1,1
407,1,1,1
408,1,0,1
409,1,0,1
410,1,0,1
411,0,1,0
412,1,1,1
413,1,0,1
414,0,1,0
415,0,1,0
417,1,0,1
418,0,1,0
419,1,0,1
420,0,1,1
421,1,1,1
422,1,1,1
424,0,1,0
425,1,0,1
426,1,1,1
427,0,1,0
428,0,1,0
429,1,0,1
430,1,0,1
431,0,1,1
432,0,1,0
433,0,1,0
434,0,1,0
435,1,0,1
436,0,1,0
437,1,0,1
438,1,0,1
439,1,0,1
440,0,1,0
441,1,1,1
442,0,1,0
443,1,1,1
444,1,1,1
445,1,0,1
446,1,0,1
447,0,1,0
448,0,1,1
450,1,1,1
451,1,1,0
452,0,1,0
453,0,1,0
454,0,1,0
455,1,0,1
456,0,1,0
457,0,1,0
458,1,1,1
459,1,0,1
460,1,0,1
461,1,0,1
462,1,1,1
463,1,1,1
464,1,0,1
465,0,1,0
468,1,1,1
470,1,0,1
471,1,0,1
472,0,1,0
473,1,0,1
474,0,1,0
475,1,0,1
476,0,1,0
477,0,1,0
478,1,0,1
479,0,1,0
554,0,1,1
555,0,1,0
556,0,1,0
557,0,1,0
558,1,0,1
559,0,1,0
560,0,1,0
562,0,1,0
563,1,1,1
564,0,1,0
565,1,1,1
566,0,1,0
567,1,0,1
568,0,1,0
569,1,1,1
572,0,1,0
573,0,1,0
574,0,1,0
576,0,1,0
577,1,1,1
578,1,0,1
579,1,0,1
580,1,1,1
581,0,1,0
582,0,1,0
583,0,1,0
584,1,1,1
585,1,1,1
586,0,1,0
587,0,1,0
588,0,1,0
589,1,0,1
590,1,1,1
591,1,0,1
592,1,1,1
593,0,1,0
594,0,1,0
595,0,1,0
596,1,1,1
597,1,1,1
598,1,1,1
599,1,0,1
600,1,1,1
602,1,0,1
603,1,1,1
604,0,1,0
605,1,0,1
606,1,1,1
607,0,1,0
608,1,1,1
610,1,1,1
611,1,0,1
612,0,1,0
614,1,0,1
615,1,1,1
616,0,1,0
617,0,1,0
618,0,1,0
619,0,1,0
620,1,1,1
622,0,1,0
623,1,0,1
624,1,1,1
625,1,1,1
626,1,0,1
627,1,1,1
628,0,1,0
629,1,0,1
630,1,1,1
631,0,1,1
632,0,1,0
633,1,0,1
635,1,1,1
637,1,1,1
638,1,0,1
639,1,0,1
640,0,1,0
641,0,1,0
643,0,1,0
644,0,1,0
720,1,0,1
721,0,1,0
722,1,1,1
723,0,1,0
724,1,1,1
725,1,0,1
726,0,1,0
728,1,0,1
730,1,0,1
731,1,0,1
732,1,0,1
733,1,1,1
734,1,0,1
735,0,1,0
736,1,0,1
737,1,0,1
738,1,0,1
739,0,1,0
740,1,0,1
741,0,1,0
742,0,1,0
743,0,1,0
744,1,0,1
745,1,1,1
746,1,0,1
747,1,1,1
748,1,0,1
749,1,0,1
750,1,0,1
751,1,0,1
752,0,1,0
753,1,1,0
754,0,1,0
755,1,0,1
756,1,0,1
757,0,1,0
758,0,1,0
759,0,1,0
760,1,0,1
762,0,1,0
763,0,1,1
764,1,1,1
765,1,1,1
766,1,1,1
767,1,1,0
769,1,0,1
770,1,0,1
771,0,1,0
772,1,1,1
773,0,1,0
775,1,0,1
776,1,0,1
777,0,1,0
778,0,1,0
779,0,1,0
780,1,0,1
781,1,0,1
782,1,1,1
783,0,1,0
784,0,1,0
785,0,1,0
786,1,1,1
787,1,0,1
788,0,1,0
790,1,0,1
791,1,1,1
792,0,1,0
793,1,0,1
794,0,1,0
796,1,0,1
797,1,0,1
798,1,1,1
799,1,1,1
800,0,1,0
801,1,1,1
802,1,0,1
803,1,0,1
804,1,0,1
805,0,1,0
806,1,0,1
807,1,0,1
808,1,0,1
809,1,0,1
