problem_id,oss_code_10_0_cq,oss_code_plus_general_9_7_0_3_cq
HumanEval/0,1,1
HumanEval/1,1,1
HumanEval/2,1,1
HumanEval/3,1,1
HumanEval/4,0,1
HumanEval/5,1,1
HumanEval/6,1,0
HumanEval/7,1,1
HumanEval/8,1,0
HumanEval/9,0,1
HumanEval/10,1,1
HumanEval/11,1,1
HumanEval/12,1,1
HumanEval/13,1,1
HumanEval/14,0,1
HumanEval/15,1,1
HumanEval/16,1,1
HumanEval/17,1,1
HumanEval/18,1,1
HumanEval/19,0,0
HumanEval/20,1,1
HumanEval/21,1,1
HumanEval/22,1,0
HumanEval/23,1,1
HumanEval/24,1,1
HumanEval/25,1,1
HumanEval/26,1,1
HumanEval/27,1,1
HumanEval/28,1,1
HumanEval/29,1,1
HumanEval/30,0,0
HumanEval/31,1,1
HumanEval/32,0,0
HumanEval/33,1,1
HumanEval/34,0,1
HumanEval/35,1,1
HumanEval/36,0,0
HumanEval/37,1,0
HumanEval/38,1,0
HumanEval/39,1,1
HumanEval/40,1,1
HumanEval/41,0,0
HumanEval/42,0,0
HumanEval/43,0,0
HumanEval/44,0,0
HumanEval/45,0,0
HumanEval/46,0,0
HumanEval/47,0,1
HumanEval/48,0,1
HumanEval/49,0,1
HumanEval/50,1,1
HumanEval/51,0,0
HumanEval/52,1,0
HumanEval/53,0,1
HumanEval/54,0,1
HumanEval/55,0,0
HumanEval/56,1,0
HumanEval/57,0,1
HumanEval/58,0,0
HumanEval/59,0,0
HumanEval/60,1,1
HumanEval/61,1,1
HumanEval/62,0,0
HumanEval/63,0,0
HumanEval/64,1,1
HumanEval/65,0,0
HumanEval/66,1,1
HumanEval/67,0,0
HumanEval/68,0,0
HumanEval/69,0,0
HumanEval/70,1,1
HumanEval/71,0,0
HumanEval/72,1,0
HumanEval/73,0,0
HumanEval/74,1,1
HumanEval/75,1,1
HumanEval/76,0,1
HumanEval/77,0,0
HumanEval/78,1,1
HumanEval/79,1,1
HumanEval/80,1,1
HumanEval/81,0,0
HumanEval/82,1,1
HumanEval/83,1,1
HumanEval/84,1,1
HumanEval/85,1,1
HumanEval/86,0,0
HumanEval/87,1,1
HumanEval/88,1,1
HumanEval/89,1,1
HumanEval/90,1,1
HumanEval/91,1,1
HumanEval/92,0,0
HumanEval/93,0,1
HumanEval/94,1,1
HumanEval/95,0,0
HumanEval/96,1,1
HumanEval/97,1,1
HumanEval/98,0,1
HumanEval/99,0,0
HumanEval/100,0,0
HumanEval/101,0,1
HumanEval/102,1,1
HumanEval/103,1,1
HumanEval/104,1,1
HumanEval/105,1,1
HumanEval/106,1,1
HumanEval/107,1,1
HumanEval/108,1,1
HumanEval/109,1,1
HumanEval/110,1,1
HumanEval/111,1,1
HumanEval/112,1,1
HumanEval/113,0,1
HumanEval/114,1,0
HumanEval/115,1,1
HumanEval/116,0,0
HumanEval/117,1,1
HumanEval/118,0,0
HumanEval/119,0,0
HumanEval/120,1,1
HumanEval/121,0,0
HumanEval/122,1,1
HumanEval/123,0,0
HumanEval/124,0,0
HumanEval/125,1,1
HumanEval/126,1,1
HumanEval/127,1,0
HumanEval/128,1,0
HumanEval/129,1,1
HumanEval/130,0,0
HumanEval/131,0,0
HumanEval/132,1,1
HumanEval/133,0,0
HumanEval/134,0,0
HumanEval/135,0,0
HumanEval/136,0,0
HumanEval/137,1,1
HumanEval/138,0,0
HumanEval/139,0,0
HumanEval/140,0,0
HumanEval/141,0,0
HumanEval/142,0,0
HumanEval/143,0,0
HumanEval/144,0,0
HumanEval/145,1,1
HumanEval/146,0,0
HumanEval/147,0,0
HumanEval/148,0,0
HumanEval/149,0,1
HumanEval/150,0,1
HumanEval/151,0,0
HumanEval/152,0,0
HumanEval/153,0,0
HumanEval/154,0,0
HumanEval/155,0,0
HumanEval/156,0,0
HumanEval/157,0,0
HumanEval/158,0,0
HumanEval/159,1,0
HumanEval/160,0,0
HumanEval/161,1,0
HumanEval/162,0,0
HumanEval/163,0,0
