problem_id,oss_code_10_0_dsc,oss_code_plus_general_9_7_0_3_dsc
HumanEval/0,1,1
HumanEval/1,1,1
HumanEval/2,1,1
HumanEval/3,1,1
HumanEval/4,1,0
HumanEval/5,0,0
HumanEval/6,0,1
HumanEval/7,1,1
HumanEval/8,0,1
HumanEval/9,1,0
HumanEval/10,1,1
HumanEval/11,1,1
HumanEval/12,1,1
HumanEval/13,1,1
HumanEval/14,1,1
HumanEval/15,0,0
HumanEval/16,1,1
HumanEval/17,1,1
HumanEval/18,1,1
HumanEval/19,1,1
HumanEval/20,1,1
HumanEval/21,1,1
HumanEval/22,1,1
HumanEval/23,1,1
HumanEval/24,1,1
HumanEval/25,1,1
HumanEval/26,1,1
HumanEval/27,1,1
HumanEval/28,1,1
HumanEval/29,1,1
HumanEval/30,1,1
HumanEval/31,1,1
HumanEval/32,1,0
HumanEval/33,1,1
HumanEval/34,1,0
HumanEval/35,1,1
HumanEval/36,1,1
HumanEval/37,1,1
HumanEval/38,0,1
HumanEval/39,0,0
HumanEval/40,1,1
HumanEval/41,0,0
HumanEval/42,1,1
HumanEval/43,1,1
HumanEval/44,0,0
HumanEval/45,0,0
HumanEval/46,1,1
HumanEval/47,1,1
HumanEval/48,1,1
HumanEval/49,1,0
HumanEval/50,1,1
HumanEval/51,1,1
HumanEval/52,0,1
HumanEval/53,0,0
HumanEval/54,0,0
HumanEval/55,1,1
HumanEval/56,0,1
HumanEval/57,1,1
HumanEval/58,1,1
HumanEval/59,0,0
HumanEval/60,1,1
HumanEval/61,1,1
HumanEval/62,1,0
HumanEval/63,1,1
HumanEval/64,1,1
HumanEval/65,1,1
HumanEval/66,1,0
HumanEval/67,1,1
HumanEval/68,1,1
HumanEval/69,1,1
HumanEval/70,1,1
HumanEval/71,1,1
HumanEval/72,0,1
HumanEval/73,1,1
HumanEval/74,1,0
HumanEval/75,1,1
HumanEval/76,1,1
HumanEval/77,1,0
HumanEval/78,0,0
HumanEval/79,1,1
HumanEval/80,1,1
HumanEval/81,0,0
HumanEval/82,1,1
HumanEval/83,0,0
HumanEval/84,1,1
HumanEval/85,1,1
HumanEval/86,1,1
HumanEval/87,0,0
HumanEval/88,1,1
HumanEval/89,1,1
HumanEval/90,0,1
HumanEval/91,1,1
HumanEval/92,1,1
HumanEval/93,0,0
HumanEval/94,0,0
HumanEval/95,1,1
HumanEval/96,0,0
HumanEval/97,0,0
HumanEval/98,1,1
HumanEval/99,0,0
HumanEval/100,0,1
HumanEval/101,1,1
HumanEval/102,1,1
HumanEval/103,1,1
HumanEval/104,1,1
HumanEval/105,1,1
HumanEval/106,0,1
HumanEval/107,1,1
HumanEval/108,1,1
HumanEval/109,1,0
HumanEval/110,0,0
HumanEval/111,1,1
HumanEval/112,0,0
HumanEval/113,1,0
HumanEval/114,0,1
HumanEval/115,1,1
HumanEval/116,1,1
HumanEval/117,0,0
HumanEval/118,1,1
HumanEval/119,1,1
HumanEval/120,1,1
HumanEval/121,1,1
HumanEval/122,1,1
HumanEval/123,1,1
HumanEval/124,1,1
HumanEval/125,0,1
HumanEval/126,0,0
HumanEval/127,0,1
HumanEval/128,0,1
HumanEval/129,1,1
HumanEval/130,0,0
HumanEval/131,0,1
HumanEval/132,0,0
HumanEval/133,0,0
HumanEval/134,0,0
HumanEval/135,0,0
HumanEval/136,0,0
HumanEval/137,0,0
HumanEval/138,0,0
HumanEval/139,0,1
HumanEval/140,0,0
HumanEval/141,1,1
HumanEval/142,0,0
HumanEval/143,0,0
HumanEval/144,0,0
HumanEval/145,0,0
HumanEval/146,0,0
HumanEval/147,0,0
HumanEval/148,1,0
HumanEval/149,1,0
HumanEval/150,1,0
HumanEval/151,0,0
HumanEval/152,0,0
HumanEval/153,0,0
HumanEval/154,0,0
HumanEval/155,0,0
HumanEval/156,0,0
HumanEval/157,0,0
HumanEval/158,0,0
HumanEval/159,0,1
HumanEval/160,0,0
HumanEval/161,0,1
HumanEval/162,0,0
HumanEval/163,0,0
