problem_id,evol_code_10_0_cq,evol_code_plus_general_9_7_0_3_cq
1873_A,0,0
1873_B,0,0
1873_D,0,0
1899_A,1,1
2727,0,0
2756,0,0
2777,0,1
2785,0,0
2791,1,1
2800,1,1
2812,1,1
2816,0,1
2819,0,0
2824,0,0
2825,1,1
2831,1,1
2844,0,0
2847,0,0
2857,0,0
2866,1,1
2870,0,0
2876,1,1
2881,0,0
2886,0,0
2892,1,1
2902,0,0
2917,1,1
2955,0,0
2977,0,0
2998,0,0
2999,0,0
3019,0,0
3034,1,1
3044,1,1
3045,0,0
3055,0,0
3093,1,1
3154,1,1
3163,0,0
3164,0,0
3172,1,1
3176,1,1
3183,1,1
3188,1,1
3193,1,1
3194,1,1
3199,0,0
3206,1,1
3207,1,1
3220,0,0
3221,0,0
3226,1,1
3227,0,0
3236,1,1
3242,1,1
3246,0,1
3251,0,0
3252,1,1
3263,0,0
3309,1,1
3311,1,1
3312,1,1
3320,0,0
3324,1,1
3331,0,0
3347,1,1
abc301_a,0,0
abc301_b,1,1
abc302_a,1,1
abc303_a,0,0
abc303_b,0,0
abc304_a,1,1
abc304_b,0,0
abc305_a,0,0
abc305_b,1,1
abc306_a,0,0
abc306_b,0,0
abc307_a,1,1
abc307_b,1,1
abc308_a,0,0
abc308_b,1,1
abc309_a,0,0
abc309_b,0,0
abc310_a,0,0
abc310_b,1,1
abc311_a,0,0
abc311_b,0,0
abc312_a,1,1
abc312_b,0,0
abc313_a,0,0
abc314_a,1,1
abc314_b,0,0
abc315_a,0,0
abc315_b,0,0
abc318_a,1,1
abc318_b,0,0
abc319_b,0,0
abc320_a,1,1
abc320_b,1,1
abc321_a,0,0
abc321_b,0,0
abc322_a,0,0
abc322_b,0,0
abc323_a,0,0
abc323_b,0,0
abc324_a,0,0
abc324_b,0,0
abc325_a,0,0
abc326_a,0,0
abc326_b,1,1
abc327_a,1,1
abc327_b,0,0
abc328_a,0,0
abc328_b,0,0
abc329_a,0,0
abc329_b,0,0
abc330_a,1,1
abc330_b,0,0
abc331_a,1,1
abc331_b,0,0
abc332_a,0,0
abc332_b,1,1
abc333_a,0,0
abc333_b,0,0
abc334_a,1,1
abc335_a,0,0
abc335_b,1,1
abc336_a,0,0
abc336_b,0,0
abc337_a,0,0
abc337_b,0,0
abc338_a,0,0
abc338_b,0,0
abc339_a,1,1
abc340_a,0,0
abc340_b,0,0
abc341_a,0,0
abc341_b,1,1
abc342_a,1,1
abc342_b,0,0
abc343_a,0,0
abc343_b,0,0
abc344_a,0,0
abc344_b,1,1
abc345_b,0,0
abc346_b,0,0
abc346_a,0,0
abc347_a,1,1
abc347_b,0,0
abc348_b,0,0
abc348_a,1,1
abc349_a,1,1
abc349_b,0,0
abc350_a,0,0
abc350_b,0,0
abc351_a,0,0
abc351_b,1,1
abc352_a,0,0
abc352_b,0,0
abc353_b,0,0
abc353_a,0,0
abc354_b,1,1
abc354_a,0,0
abc355_b,0,0
abc355_a,1,1
3334,1,1
3353,0,0
3349,1,1
3371,1,1
3372,1,1
3361,1,1
3367,1,1
3381,1,1
3379,1,1
3408,0,0
3397,1,1
3396,0,0
3398,0,0
3412,1,1
3429,0,0
3446,1,1
3428,1,1
abc356_a,0,0
abc356_b,0,0
abc357_a,1,1
abc357_b,0,0
abc358_b,0,0
abc358_a,0,0
abc359_b,1,1
abc359_a,0,0
abc360_b,0,0
abc360_a,1,1
abc361_a,1,1
abc362_a,0,0
abc362_b,0,0
abc363_a,1,1
abc363_b,1,1
abc364_b,0,0
abc364_a,1,1
abc365_b,0,0
abc365_a,0,0
3426,0,0
3450,1,1
3421,1,1
3471,0,0
3469,1,1
3468,0,0
3484,1,1
3508,0,0
3515,0,0
3533,0,0
3447,1,1
3476,0,0
3463,0,0
3511,0,0
3519,1,1
abc366_b,0,0
abc366_a,0,0
abc367_a,0,0
abc367_b,0,0
abc368_a,0,0
abc368_b,1,1
abc369_a,1,1
abc369_b,0,0
abc370_a,1,1
abc370_b,0,0
abc371_b,0,0
abc371_a,0,0
abc372_a,0,0
abc373_a,0,0
abc373_b,0,0
3543,0,0
3555,0,0
3553,0,0
3567,0,0
3568,0,0
3600,0,0
3606,0,0
abc374_b,0,0
abc374_a,1,1
abc375_b,1,1
abc375_a,0,0
abc376_a,1,1
abc377_b,1,1
abc377_a,1,1
abc378_b,0,0
abc378_a,0,0
abc379_b,0,0
abc379_a,1,1
abc380_a,1,1
abc380_b,0,0
abc381_a,0,1
abc381_b,1,1
abc382_a,1,1
abc382_b,1,1
abc383_a,1,1
abc384_b,0,0
abc384_a,1,1
abc385_a,1,1
abc385_b,0,0
abc386_a,0,0
abc386_b,1,1
3610,1,1
3636,1,1
3612,1,1
3616,1,1
3644,0,0
3605,1,1
3617,0,0
3626,1,1
3625,1,1
3676,1,1
3651,1,1
3621,1,1
3632,0,0
3656,0,0
3685,0,0
3702,0,0
3684,1,1
