problem_id,oss_code_10_0_cq,oss_code_plus_general_9_7_0_3_cq
1873_A,1,1
1873_B,0,0
1873_D,0,0
1899_A,0,0
2727,0,0
2756,0,0
2777,0,0
2785,1,1
2791,1,1
2800,0,0
2812,1,1
2816,0,0
2819,0,0
2824,1,1
2825,0,0
2831,0,0
2844,1,1
2847,1,1
2857,0,0
2866,0,0
2870,0,0
2876,1,1
2881,1,1
2886,0,0
2892,0,0
2902,0,0
2917,0,0
2955,0,0
2977,0,0
2998,0,0
2999,1,1
3019,1,1
3034,0,0
3044,1,1
3045,0,0
3055,0,0
3093,1,1
3154,1,1
3163,1,1
3164,0,0
3172,0,0
3176,0,0
3183,0,0
3188,0,0
3193,1,1
3194,0,0
3199,1,1
3206,0,0
3207,0,0
3220,0,0
3221,0,0
3226,1,1
3227,0,0
3236,0,0
3242,1,1
3246,0,0
3251,0,0
3252,0,0
3263,1,1
3309,0,0
3311,0,0
3312,0,0
3320,0,1
3324,1,1
3331,0,0
3347,1,1
abc301_a,0,1
abc301_b,0,0
abc302_a,0,0
abc303_a,1,1
abc303_b,0,0
abc304_a,1,1
abc304_b,1,1
abc305_a,1,1
abc305_b,0,0
abc306_a,1,1
abc306_b,0,0
abc307_a,0,0
abc307_b,1,1
abc308_a,1,1
abc308_b,1,0
abc309_a,0,0
abc309_b,1,1
abc310_a,1,1
abc310_b,1,1
abc311_a,1,1
abc311_b,1,1
abc312_a,0,0
abc312_b,0,0
abc313_a,0,0
abc314_a,0,0
abc314_b,0,0
abc315_a,0,0
abc315_b,0,0
abc318_a,0,0
abc318_b,0,0
abc319_b,0,1
abc320_a,1,1
abc320_b,1,1
abc321_a,1,1
abc321_b,0,0
abc322_a,0,0
abc322_b,1,1
abc323_a,1,1
abc323_b,0,0
abc324_a,0,0
abc324_b,0,0
abc325_a,1,1
abc326_a,0,0
abc326_b,1,1
abc327_a,0,0
abc327_b,0,0
abc328_a,1,1
abc328_b,0,0
abc329_a,0,0
abc329_b,1,1
abc330_a,0,0
abc330_b,1,1
abc331_a,0,0
abc331_b,0,0
abc332_a,1,1
abc332_b,1,1
abc333_a,0,0
abc333_b,1,1
abc334_a,1,1
abc335_a,0,0
abc335_b,0,0
abc336_a,0,0
abc336_b,0,0
abc337_a,0,0
abc337_b,0,0
abc338_a,0,0
abc338_b,1,1
abc339_a,0,0
abc340_a,0,0
abc340_b,0,1
abc341_a,0,1
abc341_b,0,0
abc342_a,0,0
abc342_b,1,1
abc343_a,0,0
abc343_b,0,0
abc344_a,0,0
abc344_b,0,0
abc345_b,0,1
abc346_b,1,1
abc346_a,0,0
abc347_a,1,1
abc347_b,1,1
abc348_b,0,0
abc348_a,1,1
abc349_a,0,0
abc349_b,0,0
abc350_a,0,0
abc350_b,1,1
abc351_a,0,0
abc351_b,1,1
abc352_a,0,0
abc352_b,1,1
abc353_b,1,1
abc353_a,0,0
abc354_b,1,1
abc354_a,1,1
abc355_b,0,0
abc355_a,0,1
3334,0,0
3353,0,0
3349,1,1
3371,0,0
3372,0,0
3361,1,1
3367,1,1
3381,1,1
3379,0,0
3408,1,1
3397,0,0
3396,0,0
3398,0,1
3412,0,0
3429,0,0
3446,0,0
3428,0,0
abc356_a,1,1
abc356_b,0,0
abc357_a,1,1
abc357_b,0,0
abc358_b,1,1
abc358_a,0,0
abc359_b,0,0
abc359_a,1,1
abc360_b,0,0
abc360_a,0,0
abc361_a,0,0
abc362_a,0,0
abc362_b,0,0
abc363_a,0,0
abc363_b,1,1
abc364_b,0,0
abc364_a,0,0
abc365_b,0,0
abc365_a,1,1
3426,1,1
3450,0,0
3421,1,1
3471,0,0
3469,1,1
3468,0,0
3484,1,1
3508,0,0
3515,0,0
3533,1,1
3447,0,0
3476,0,1
3463,0,0
3511,0,0
3519,0,0
abc366_b,0,0
abc366_a,1,1
abc367_a,0,0
abc367_b,1,1
abc368_a,0,0
abc368_b,0,0
abc369_a,0,0
abc369_b,0,0
abc370_a,1,1
abc370_b,0,0
abc371_b,0,0
abc371_a,0,0
abc372_a,1,1
abc373_a,1,1
abc373_b,0,0
3543,1,1
3555,1,1
3553,0,0
3567,1,1
3568,1,1
3600,1,1
3606,0,0
abc374_b,1,1
abc374_a,0,0
abc375_b,1,1
abc375_a,0,0
abc376_a,1,1
abc377_b,0,0
abc377_a,1,0
abc378_b,0,0
abc378_a,1,1
abc379_b,1,1
abc379_a,0,0
abc380_a,0,0
abc380_b,1,1
abc381_a,1,1
abc381_b,0,1
abc382_a,1,1
abc382_b,1,1
abc383_a,0,0
abc384_b,0,0
abc384_a,0,0
abc385_a,0,0
abc385_b,1,1
abc386_a,0,0
abc386_b,1,1
3610,1,0
3636,1,1
3612,0,0
3616,0,0
3644,0,0
3605,0,0
3617,1,1
3626,0,0
3625,0,0
3676,1,1
3651,0,0
3621,1,1
3632,0,0
3656,0,0
3685,1,1
3702,1,1
3684,0,1
