problem_id,oss_code_10_0_dsc,oss_code_plus_general_9_7_0_3_dsc
1873_A,1,1
1873_B,1,0
1873_D,0,0
1899_A,0,0
2727,0,1
2756,0,0
2777,0,0
2785,0,0
2791,1,1
2800,0,1
2812,0,0
2816,0,0
2819,0,0
2824,0,0
2825,0,0
2831,0,0
2844,0,0
2847,0,0
2857,0,0
2866,0,1
2870,1,1
2876,0,0
2881,1,0
2886,0,0
2892,1,1
2902,1,1
2917,0,0
2955,1,0
2977,0,0
2998,0,1
2999,1,1
3019,0,0
3034,1,0
3044,0,1
3045,0,0
3055,0,1
3093,0,1
3154,0,1
3163,1,1
3164,0,0
3172,0,0
3176,0,0
3183,1,1
3188,0,0
3193,0,0
3194,0,0
3199,0,0
3206,0,0
3207,0,0
3220,0,1
3221,0,0
3226,0,0
3227,1,0
3236,0,0
3242,0,0
3246,1,0
3251,0,1
3252,0,1
3263,0,1
3309,0,0
3311,1,0
3312,1,1
3320,1,0
3324,0,0
3331,0,1
3347,1,0
abc301_a,1,0
abc301_b,1,1
abc302_a,0,1
abc303_a,1,0
abc303_b,0,1
abc304_a,1,0
abc304_b,1,0
abc305_a,0,1
abc305_b,1,1
abc306_a,0,0
abc306_b,1,1
abc307_a,1,1
abc307_b,0,0
abc308_a,1,1
abc308_b,0,0
abc309_a,0,1
abc309_b,0,0
abc310_a,0,0
abc310_b,1,1
abc311_a,0,0
abc311_b,1,0
abc312_a,0,0
abc312_b,0,0
abc313_a,0,0
abc314_a,0,0
abc314_b,1,0
abc315_a,1,0
abc315_b,0,0
abc318_a,0,0
abc318_b,0,1
abc319_b,0,0
abc320_a,0,0
abc320_b,1,1
abc321_a,0,0
abc321_b,0,1
abc322_a,0,0
abc322_b,0,0
abc323_a,0,0
abc323_b,1,0
abc324_a,0,0
abc324_b,0,0
abc325_a,1,1
abc326_a,0,0
abc326_b,0,0
abc327_a,1,0
abc327_b,0,1
abc328_a,0,0
abc328_b,0,0
abc329_a,0,0
abc329_b,1,1
abc330_a,0,0
abc330_b,0,0
abc331_a,0,0
abc331_b,0,0
abc332_a,0,0
abc332_b,1,1
abc333_a,0,0
abc333_b,0,1
abc334_a,0,0
abc335_a,1,0
abc335_b,0,0
abc336_a,0,0
abc336_b,0,0
abc337_a,1,1
abc337_b,0,0
abc338_a,1,1
abc338_b,0,1
abc339_a,0,0
abc340_a,1,1
abc340_b,1,0
abc341_a,1,0
abc341_b,1,1
abc342_a,0,1
abc342_b,1,1
abc343_a,0,0
abc343_b,0,0
abc344_a,0,0
abc344_b,0,1
abc345_b,1,0
abc346_b,0,0
abc346_a,0,0
abc347_a,1,1
abc347_b,0,1
abc348_b,0,0
abc348_a,1,1
abc349_a,1,1
abc349_b,0,0
abc350_a,1,0
abc350_b,0,0
abc351_a,1,1
abc351_b,1,1
abc352_a,1,1
abc352_b,1,1
abc353_b,0,1
abc353_a,0,0
abc354_b,0,0
abc354_a,0,0
abc355_b,0,0
abc355_a,1,0
3334,0,0
3353,0,0
3349,0,0
3371,0,1
3372,0,0
3361,0,1
3367,0,0
3381,1,1
3379,0,1
3408,0,0
3397,0,0
3396,0,1
3398,1,1
3412,0,0
3429,0,0
3446,0,0
3428,0,0
abc356_a,0,0
abc356_b,1,1
abc357_a,0,0
abc357_b,0,0
abc358_b,1,1
abc358_a,1,0
abc359_b,0,0
abc359_a,0,1
abc360_b,1,1
abc360_a,0,0
abc361_a,0,0
abc362_a,0,0
abc362_b,1,0
abc363_a,0,0
abc363_b,0,1
abc364_b,0,1
abc364_a,1,0
abc365_b,1,0
abc365_a,0,0
3426,1,1
3450,1,0
3421,1,1
3471,1,1
3469,0,0
3468,0,0
3484,1,1
3508,0,0
3515,0,1
3533,0,0
3447,0,0
3476,0,0
3463,1,1
3511,0,0
3519,1,0
abc366_b,0,0
abc366_a,0,1
abc367_a,0,0
abc367_b,1,1
abc368_a,0,0
abc368_b,0,0
abc369_a,1,0
abc369_b,1,1
abc370_a,1,1
abc370_b,0,0
abc371_b,0,0
abc371_a,0,1
abc372_a,1,1
abc373_a,0,0
abc373_b,0,0
3543,1,0
3555,1,1
3553,1,1
3567,0,0
3568,1,1
3600,0,0
3606,0,0
abc374_b,0,0
abc374_a,0,0
abc375_b,1,1
abc375_a,0,0
abc376_a,1,0
abc377_b,1,0
abc377_a,0,1
abc378_b,1,1
abc378_a,0,1
abc379_b,0,0
abc379_a,1,0
abc380_a,0,0
abc380_b,1,1
abc381_a,1,0
abc381_b,1,0
abc382_a,0,0
abc382_b,0,1
abc383_a,0,0
abc384_b,0,0
abc384_a,1,0
abc385_a,0,0
abc385_b,0,0
abc386_a,0,0
abc386_b,0,1
3610,0,1
3636,0,0
3612,0,0
3616,1,0
3644,0,0
3605,0,0
3617,1,1
3626,1,1
3625,0,0
3676,0,0
3651,0,0
3621,0,1
3632,0,0
3656,1,1
3685,0,1
3702,1,1
3684,0,0
