problem_id,evol_code_10_0_cq,evol_code_plus_general_9_7_0_3_cq
2,1,1
3,0,0
4,1,1
6,1,1
7,0,0
8,0,0
9,1,1
11,1,1
12,0,0
14,1,1
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
56,0,0
57,0,0
58,1,1
59,0,0
61,0,0
62,0,0
63,1,1
64,1,1
65,1,1
66,0,0
67,1,1
68,0,0
69,0,0
70,1,1
71,0,0
72,0,0
74,1,1
75,0,0
77,1,1
79,1,1
80,0,0
82,0,0
83,0,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,0,0
90,1,1
91,1,1
92,1,1
93,0,0
94,0,0
95,1,1
96,0,0
97,1,1
98,1,1
99,0,0
100,1,1
101,1,1
102,0,0
103,1,1
104,0,0
105,1,1
106,0,0
108,0,0
109,0,0
111,1,1
113,0,0
115,0,0
116,0,0
117,1,1
118,1,1
119,0,0
120,1,1
123,0,0
124,1,1
125,0,0
126,0,0
127,1,1
128,0,0
129,0,0
130,1,1
131,1,1
132,1,1
133,1,1
135,0,0
137,0,0
138,1,1
139,0,0
140,1,1
141,1,1
142,1,1
143,0,0
145,0,0
160,1,1
161,1,1
162,1,1
163,1,1
164,0,0
165,1,1
166,1,1
167,1,1
168,1,1
170,1,1
171,0,0
172,0,1
222,1,1
223,1,1
224,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
232,1,1
233,1,1
234,0,0
235,1,1
237,0,0
238,1,1
239,0,0
240,0,0
242,1,1
244,1,1
245,0,0
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,0,0
252,1,1
253,1,1
255,0,0
256,0,0
257,1,1
259,1,1
260,1,1
261,1,1
262,1,1
264,1,1
265,1,1
266,0,0
267,1,1
268,0,0
269,0,0
270,1,1
271,0,0
272,1,1
273,1,1
274,0,0
276,1,1
277,1,1
278,1,1
279,0,0
280,0,0
281,1,1
282,1,1
283,1,1
284,1,1
285,0,0
286,1,1
287,1,1
290,1,1
291,0,0
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
299,1,1
300,1,1
301,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,0,0
309,1,1
310,0,0
311,1,1
312,0,0
388,1,1
389,0,0
390,0,0
391,1,1
392,1,1
393,0,0
394,0,0
395,1,1
396,0,0
397,1,1
398,0,0
399,0,0
400,0,0
401,1,1
404,1,1
405,1,1
406,0,0
407,0,0
408,1,1
409,1,1
410,1,1
411,0,0
412,0,0
413,1,1
414,1,1
415,1,1
417,1,1
418,0,0
419,1,1
420,0,0
421,0,0
422,1,1
424,1,1
425,1,1
426,0,0
427,1,1
428,0,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,0,0
439,1,1
440,0,0
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,0,0
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,0,0
456,0,0
457,1,1
458,0,0
459,1,1
460,1,1
461,0,0
462,1,1
463,0,0
464,1,1
465,1,1
468,0,0
470,1,1
471,0,0
472,0,0
473,0,0
474,1,1
475,1,1
476,1,1
477,1,1
478,0,0
479,1,1
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
562,0,0
563,1,1
564,1,1
565,1,1
566,1,1
567,0,0
568,1,1
569,1,1
572,0,0
573,1,1
574,1,1
576,0,0
577,1,1
578,1,1
579,0,0
580,1,1
581,0,0
582,1,1
583,1,1
584,1,1
585,0,0
586,0,0
587,0,0
588,1,1
589,0,0
590,1,1
591,0,0
592,0,0
593,1,1
594,0,0
595,1,1
596,1,1
597,1,1
598,0,0
599,0,0
600,1,1
602,1,1
603,1,1
604,0,0
605,0,0
606,1,1
607,0,0
608,1,1
610,0,0
611,1,1
612,0,1
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,1,1
620,1,1
622,1,1
623,0,0
624,1,1
625,1,1
626,1,1
627,1,1
628,0,0
629,1,1
630,1,1
631,1,1
632,1,1
633,1,1
635,0,0
637,0,0
638,1,1
639,1,1
640,1,1
641,1,1
643,1,1
644,0,0
720,1,1
721,1,1
722,1,1
723,1,1
724,0,0
725,0,0
726,0,0
728,1,1
730,0,0
731,1,1
732,0,0
733,1,1
734,0,0
735,1,1
736,1,1
737,1,1
738,1,1
739,0,0
740,1,1
741,1,1
742,1,1
743,0,0
744,1,1
745,1,1
746,1,1
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,1,1
754,1,1
755,0,0
756,0,0
757,1,1
758,1,1
759,1,1
760,1,1
762,1,1
763,1,1
764,1,1
765,0,0
766,1,1
767,0,0
769,1,1
770,0,0
771,1,1
772,0,0
773,0,0
775,0,1
776,1,1
777,1,1
778,1,1
779,0,0
780,1,1
781,1,1
782,0,0
783,1,1
784,1,1
785,1,1
786,1,1
787,1,1
788,0,0
790,0,0
791,1,1
792,1,1
793,1,1
794,1,1
796,1,1
797,0,0
798,1,1
799,0,0
800,0,1
801,1,1
802,1,1
803,0,0
804,1,1
805,1,1
806,1,1
807,1,1
808,0,0
809,0,0
