problem_id,evol_code_10_0_dsc,evol_code_plus_general_9_7_0_3_dsc
2,1,1
3,1,1
4,1,1
6,1,1
7,0,1
8,1,1
9,1,1
11,1,1
12,1,0
14,1,1
16,1,1
17,1,1
18,0,0
19,1,1
20,1,1
56,0,0
57,1,0
58,1,0
59,0,0
61,1,0
62,1,1
63,1,1
64,1,1
65,1,1
66,0,0
67,0,1
68,0,0
69,1,1
70,1,1
71,1,1
72,1,1
74,1,1
75,1,1
77,1,0
79,0,1
80,0,0
82,1,1
83,1,1
84,1,1
85,0,0
86,0,1
87,0,0
88,1,1
89,0,0
90,0,1
91,1,1
92,0,0
93,1,1
94,1,1
95,1,1
96,1,1
97,0,1
98,1,1
99,1,1
100,0,0
101,1,1
102,1,1
103,1,1
104,0,0
105,1,0
106,0,0
108,0,0
109,0,1
111,0,0
113,0,0
115,1,1
116,0,0
117,1,1
118,0,0
119,0,1
120,1,1
123,1,1
124,1,1
125,0,1
126,1,0
127,0,0
128,1,1
129,0,0
130,1,1
131,1,1
132,1,1
133,0,0
135,1,1
137,0,0
138,0,1
139,1,1
140,1,1
141,0,0
142,0,0
143,1,0
145,1,1
160,0,0
161,0,0
162,0,0
163,0,0
164,1,1
165,0,1
166,1,1
167,1,1
168,1,1
170,1,1
171,1,1
172,1,0
222,0,0
223,1,1
224,1,1
226,1,0
227,0,0
228,1,1
229,0,1
230,1,1
232,1,1
233,1,1
234,1,1
235,1,1
237,1,1
238,0,0
239,0,0
240,1,1
242,1,1
244,1,1
245,1,1
246,0,1
247,0,0
248,1,0
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
255,1,1
256,0,0
257,1,1
259,1,1
260,0,0
261,0,0
262,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,0,0
269,1,1
270,0,1
271,0,0
272,1,1
273,0,0
274,1,1
276,0,0
277,0,0
278,1,1
279,0,0
280,0,0
281,1,1
282,1,0
283,0,1
284,1,1
285,1,1
286,0,1
287,1,1
290,0,1
291,1,1
292,0,0
293,1,1
294,1,0
295,1,0
296,1,1
297,0,1
299,0,0
300,1,1
301,0,0
304,0,1
305,0,0
306,1,1
307,1,1
308,1,1
309,0,0
310,1,1
311,0,0
312,0,0
388,1,1
389,1,1
390,1,0
391,1,1
392,1,1
393,0,0
394,0,0
395,1,1
396,1,1
397,0,0
398,0,0
399,0,1
400,1,1
401,1,0
404,1,1
405,1,1
406,0,0
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,0
414,0,0
415,0,0
417,1,1
418,1,1
419,1,1
420,0,1
421,0,0
422,1,1
424,1,0
425,1,1
426,1,1
427,0,0
428,1,0
429,1,0
430,0,0
431,1,1
432,0,0
433,0,0
434,0,1
435,1,1
436,0,1
437,0,0
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,0,1
445,1,1
446,1,1
447,0,0
448,1,1
450,0,0
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,0
462,1,1
463,1,1
464,1,1
465,1,1
468,0,0
470,1,1
471,0,0
472,1,1
473,1,1
474,0,0
475,0,0
476,1,1
477,1,1
478,1,1
479,1,1
554,1,1
555,0,0
556,1,1
557,1,1
558,1,1
559,0,0
560,1,1
562,1,1
563,0,1
564,0,1
565,1,1
566,1,1
567,1,1
568,1,1
569,0,1
572,0,0
573,0,0
574,1,1
576,0,0
577,0,0
578,0,1
579,0,0
580,1,1
581,1,1
582,0,1
583,0,0
584,0,0
585,1,1
586,1,0
587,1,0
588,1,1
589,1,1
590,0,0
591,1,1
592,1,1
593,0,0
594,0,0
595,0,0
596,1,1
597,0,0
598,1,1
599,0,0
600,1,1
602,0,1
603,0,1
604,0,0
605,1,1
606,1,1
607,1,0
608,0,1
610,1,1
611,0,0
612,1,1
614,1,1
615,1,0
616,0,0
617,1,1
618,1,1
619,1,0
620,0,0
622,0,0
623,0,0
624,0,0
625,1,0
626,0,1
627,1,1
628,0,1
629,1,1
630,1,1
631,0,0
632,1,1
633,1,1
635,0,1
637,1,1
638,1,0
639,1,0
640,1,1
641,1,1
643,1,1
644,1,1
720,1,1
721,1,1
722,1,1
723,1,1
724,1,0
725,0,0
726,1,1
728,1,0
730,1,1
731,1,1
732,1,0
733,0,0
734,0,0
735,1,1
736,1,1
737,1,1
738,0,0
739,1,1
740,1,1
741,0,0
742,0,0
743,0,0
744,1,1
745,0,0
746,1,1
747,1,1
748,1,1
749,0,0
750,1,1
751,0,1
752,1,0
753,1,1
754,1,1
755,0,0
756,1,1
757,1,1
758,1,1
759,1,1
760,0,1
762,1,1
763,1,1
764,0,0
765,1,1
766,1,1
767,0,1
769,0,0
770,1,1
771,1,1
772,1,1
773,0,0
775,1,0
776,1,1
777,1,1
778,1,1
779,0,1
780,0,1
781,1,1
782,1,0
783,1,1
784,1,1
785,1,0
786,1,1
787,1,1
788,0,1
790,0,0
791,1,1
792,1,1
793,0,0
794,0,0
796,1,1
797,1,1
798,1,1
799,0,0
800,1,1
801,1,1
802,0,0
803,1,1
804,1,1
805,1,1
806,1,0
807,0,0
808,1,1
809,1,1
