problem_id,oss_code_10_0_cq,oss_code_plus_general_9_7_0_3_cq
2,1,1
3,1,1
4,1,1
6,1,1
7,0,0
8,0,1
9,1,1
11,1,1
12,1,1
14,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
56,1,1
57,1,1
58,0,1
59,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,0,0
66,1,1
67,0,0
68,1,1
69,0,1
70,1,1
71,1,0
72,1,1
74,1,1
75,0,1
77,1,1
79,1,1
80,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,0,0
89,1,1
90,1,1
91,1,1
92,0,0
93,0,1
94,1,0
95,1,1
96,1,0
97,0,0
98,1,1
99,1,1
100,0,1
101,1,1
102,1,1
103,1,1
104,1,0
105,1,1
106,1,1
108,1,0
109,1,1
111,1,1
113,1,1
115,1,1
116,0,1
117,1,1
118,0,1
119,0,0
120,1,1
123,1,1
124,1,1
125,1,1
126,0,0
127,1,1
128,0,0
129,1,1
130,0,0
131,0,0
132,1,1
133,1,1
135,0,1
137,1,0
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,0
145,1,1
160,1,1
161,1,1
162,1,0
163,0,1
164,0,0
165,1,1
166,1,1
167,1,1
168,0,0
170,1,0
171,1,1
172,0,1
222,0,0
223,0,0
224,1,1
226,0,0
227,0,1
228,1,1
229,0,1
230,1,1
232,0,1
233,0,1
234,1,1
235,1,0
237,1,1
238,1,0
239,1,1
240,1,1
242,1,1
244,1,1
245,1,0
246,0,0
247,0,0
248,0,0
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
255,1,1
256,1,1
257,1,1
259,1,1
260,1,1
261,0,1
262,0,0
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
276,1,1
277,1,1
278,0,0
279,0,0
280,0,1
281,1,1
282,0,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,0,0
299,0,1
300,1,1
301,1,1
304,1,1
305,1,1
306,0,0
307,1,1
308,1,1
309,1,1
310,1,1
311,0,0
312,1,0
388,1,0
389,0,0
390,1,1
391,1,1
392,0,0
393,0,1
394,1,1
395,1,1
396,1,1
397,0,0
398,1,1
399,1,1
400,1,1
401,0,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,0,0
410,0,1
411,1,1
412,1,1
413,0,0
414,0,0
415,1,1
417,1,1
418,1,1
419,1,1
420,1,0
421,1,1
422,1,1
424,0,1
425,0,0
426,1,1
427,1,1
428,1,1
429,1,1
430,0,0
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,0,0
439,1,1
440,0,1
441,0,0
442,1,1
443,1,0
444,0,0
445,1,1
446,0,0
447,1,1
448,1,1
450,0,1
451,1,1
452,1,1
453,0,0
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,0,0
460,0,0
461,1,1
462,1,1
463,1,1
464,0,0
465,1,1
468,1,0
470,1,1
471,1,1
472,0,1
473,1,1
474,1,0
475,1,1
476,0,0
477,1,1
478,0,0
479,0,0
554,1,1
555,1,1
556,1,1
557,0,0
558,1,1
559,1,0
560,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,0
568,1,1
569,1,1
572,1,0
573,1,1
574,1,1
576,1,0
577,0,0
578,0,1
579,1,1
580,1,1
581,0,0
582,1,1
583,0,0
584,1,1
585,1,1
586,1,1
587,1,1
588,1,1
589,1,0
590,1,1
591,0,1
592,0,1
593,0,1
594,1,1
595,1,1
596,0,0
597,1,1
598,0,0
599,1,1
600,1,0
602,1,1
603,0,1
604,1,1
605,1,1
606,1,1
607,1,1
608,0,0
610,1,1
611,1,1
612,1,1
614,0,1
615,1,1
616,1,1
617,1,1
618,1,1
619,0,1
620,1,0
622,1,1
623,1,1
624,1,1
625,0,1
626,1,1
627,1,1
628,1,0
629,1,1
630,1,1
631,1,0
632,1,0
633,1,1
635,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
643,1,1
644,0,1
720,1,1
721,0,0
722,1,1
723,0,0
724,1,1
725,1,0
726,1,1
728,1,1
730,0,0
731,1,1
732,0,1
733,0,0
734,1,1
735,1,1
736,1,1
737,1,1
738,1,1
739,0,0
740,1,1
741,1,0
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,0,1
752,1,1
753,0,0
754,0,0
755,1,1
756,0,1
757,1,1
758,1,1
759,0,0
760,1,1
762,1,1
763,1,1
764,1,1
765,0,0
766,1,1
767,0,1
769,1,1
770,1,1
771,0,0
772,0,1
773,1,1
775,1,1
776,1,0
777,1,1
778,0,0
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,0,1
786,1,1
787,1,1
788,1,1
790,1,0
791,1,1
792,1,1
793,1,0
794,1,1
796,1,0
797,1,1
798,1,1
799,1,1
800,1,1
801,0,0
802,1,1
803,1,0
804,1,1
805,1,1
806,0,0
807,1,1
808,1,1
809,1,1
