problem_id,oss_code_10_0_dsc,oss_code_plus_general_9_7_0_3_dsc
2,1,0
3,1,0
4,1,0
6,1,1
7,1,1
8,1,1
9,1,1
11,1,1
12,1,1
14,1,1
16,1,1
17,0,1
18,1,1
19,1,1
20,1,1
56,1,1
57,0,0
58,1,1
59,1,1
61,0,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,0
67,1,1
68,1,1
69,0,0
70,1,1
71,1,1
72,0,0
74,1,1
75,1,1
77,1,1
79,1,1
80,1,1
82,1,0
83,1,1
84,1,1
85,0,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,0,0
93,1,0
94,1,1
95,1,1
96,1,1
97,0,0
98,1,1
99,1,1
100,1,0
101,0,0
102,0,1
103,1,1
104,1,1
105,1,1
106,1,1
108,1,1
109,1,0
111,1,1
113,1,1
115,1,1
116,0,0
117,1,1
118,1,1
119,1,1
120,1,1
123,0,1
124,1,1
125,1,1
126,0,1
127,0,0
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
135,1,1
137,0,0
138,0,0
139,1,0
140,1,1
141,1,1
142,1,1
143,0,1
145,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
170,0,1
171,1,1
172,1,1
222,1,1
223,1,1
224,0,0
226,0,1
227,1,0
228,0,0
229,1,0
230,1,1
232,1,0
233,1,0
234,1,1
235,0,1
237,1,1
238,1,1
239,1,1
240,1,1
242,1,1
244,1,1
245,1,1
246,0,0
247,1,1
248,1,1
249,1,1
250,1,1
251,0,1
252,0,0
253,1,1
255,0,0
256,1,1
257,0,0
259,1,1
260,1,1
261,1,0
262,1,1
264,1,1
265,1,1
266,0,0
267,1,1
268,1,0
269,1,0
270,1,0
271,1,1
272,1,1
273,1,1
274,0,0
276,1,1
277,1,1
278,0,0
279,0,0
280,1,0
281,1,1
282,0,0
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
290,1,1
291,1,0
292,1,1
293,1,1
294,0,1
295,0,1
296,1,1
297,1,1
299,1,1
300,1,1
301,0,0
304,1,1
305,1,0
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
388,0,1
389,1,1
390,0,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,0
400,1,1
401,1,1
404,1,1
405,0,0
406,1,1
407,1,1
408,0,0
409,0,0
410,1,0
411,0,1
412,1,1
413,0,0
414,1,1
415,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,0,1
422,1,1
424,1,1
425,1,1
426,0,0
427,1,0
428,0,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,0
435,0,0
436,1,0
437,0,0
438,1,1
439,0,0
440,1,1
441,0,0
442,1,1
443,0,1
444,1,1
445,1,1
446,1,1
447,1,1
448,0,1
450,0,0
451,0,0
452,0,0
453,0,0
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,0,0
464,1,1
465,1,1
468,1,1
470,0,0
471,1,1
472,1,1
473,1,0
474,0,1
475,0,1
476,1,1
477,1,1
478,1,0
479,1,1
554,1,1
555,0,1
556,1,1
557,1,1
558,1,1
559,0,1
560,1,1
562,0,0
563,1,1
564,1,0
565,1,1
566,1,1
567,0,0
568,0,0
569,1,1
572,1,1
573,1,1
574,1,1
576,1,1
577,1,1
578,1,0
579,1,1
580,1,1
581,1,1
582,1,1
583,1,1
584,1,1
585,0,1
586,1,1
587,0,1
588,1,1
589,0,1
590,1,1
591,0,0
592,1,1
593,1,1
594,1,1
595,0,0
596,1,1
597,1,1
598,1,1
599,1,1
600,0,1
602,1,1
603,1,0
604,1,1
605,1,1
606,0,0
607,0,1
608,1,0
610,0,0
611,1,1
612,1,1
614,0,0
615,1,1
616,1,0
617,0,0
618,1,1
619,1,1
620,0,0
622,1,0
623,1,1
624,1,1
625,0,0
626,0,0
627,1,1
628,0,1
629,1,1
630,1,1
631,1,1
632,1,1
633,0,0
635,1,1
637,0,0
638,0,1
639,1,1
640,1,1
641,1,1
643,1,1
644,1,1
720,1,0
721,1,1
722,1,1
723,1,1
724,0,1
725,1,1
726,0,0
728,1,1
730,1,0
731,1,1
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,0,0
738,0,0
739,0,0
740,1,1
741,0,1
742,1,1
743,0,1
744,0,0
745,1,0
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,0,0
753,1,1
754,1,1
755,0,1
756,1,1
757,0,0
758,1,1
759,1,1
760,1,1
762,0,0
763,0,0
764,1,1
765,1,1
766,1,1
767,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,1,1
775,1,1
776,0,1
777,1,1
778,0,0
779,1,0
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,0,1
786,1,1
787,1,1
788,1,1
790,1,1
791,0,0
792,1,1
793,0,1
794,0,0
796,0,1
797,0,0
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,0,0
806,1,1
807,1,1
808,1,1
809,0,1
